Topaz, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Attired, Duchess, Short, in shape, Oval Face, Tan Skin, Chestnut Hair, Hazel Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, full breasts, Faux gauge earrings, magenta metallic lipstick
Jade, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Decked, Vixen, Tall, Athletic, Triangular Face, Olive Skin, Dark Brown Hair, brown Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Wavy Layered Bob, augmented breasts, Cuff earrings, red velvet lipstick
Tanzanite, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Curtained, Goddess, Tall, Slim, Square Face, Tan Skin, Silver Hair, ruby Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Braided Headband, saggy breasts, Faux gauge earrings, golden satin lipstick
Garnet, A network of crystalized branches, capturing the beauty of nature's delicate formations, Embellished, Phenom, Tall, in shape, Oval Face, Fair Skin, Dark Brown Hair, hazel Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Double Braided Crown, full breasts, Clip-on earrings, teal matte lipstick
Malachite, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Decked out, Seductress, Average Height, Firm, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, Sapphire Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, French Braid, large breasts, Threader earrings, coral cream lipstick
Aventurine, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Outfitted, Gal, Average Height, Athletic, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, amethyst Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Side-Swept Bangs, perky breasts, Faux gauge earrings, brown cream lipstick
Hematite, A network of crystalized branches, capturing the beauty of nature's delicate formations, Outfitted, Charmer, Short, Thin, Square Face, Fair Skin, Gray Hair, Amber Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Beach Waves, large breasts, Faux gauge earrings, magenta sheer lipstick
Obsidian, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Arrayed, Femme fatale, Short, Firm, Oval Face, Fair Skin, Dark Brown Hair, teal Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Top Knot, large breasts, Clip-on earrings, grape gloss lipstick
Amethyst, A network of crystalized branches, capturing the beauty of nature's delicate formations, Donned in, Lady, Tall, Toned, Round Face, Olive Skin, Blonde Hair, purple Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Afro, saggy breasts, Dangle earrings, fuchsia matte lipstick
Malachite, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Clad, Babe, Tall, Skinny, Heart-Shaped Face, Olive Skin, Auburn Hair, yellow Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Low Ponytail, soft breasts, Huggie earrings, light pink stain lipstick
Labradorite, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Habited, Female Warrior, Short, Skinny, Diamond-Shaped Face, Dark Skin, Blonde Hair, turquoise Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Loose Curls, perky breasts, Threader earrings, black satin lipstick
Obsidian, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Decked out, Enigma, Short, Toned, Triangular Face, Dark Skin, Silver Hair, red Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Waterfall Braid, augmented breasts, Cuff earrings, teal metallic lipstick
Opal, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Enveloped, Enchantress, Tall, in shape, Round Face, Tan Skin, Gray Hair, black Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Sleek Waves, round breasts, Dangle earrings, green gloss lipstick
Pearl, A network of crystalized branches, capturing the beauty of nature's delicate formations, Embellished, Empress, Tall, Wide Hips, Heart-Shaped Face, Olive Skin, Gray Hair, silver Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Curly Hair, Twisted Bun, full breasts, Cuff earrings, beige velvet lipstick
Sapphire, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Covered, Maven, Average Height, Toned, Oval Face, Fair Skin, Honey Blonde Hair, amber Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Loose Waves, soft breasts, Huggie earrings, magenta cream lipstick
Sapphire, Transparent crystals that refract light, casting beautiful prisms and rainbows, Curtained, Madam, Average Height, Fit, Diamond-Shaped Face, Olive Skin, Gray Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Messy Top Knot, full breasts, Huggie earrings, cherry stain lipstick
Sapphire, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Swathed, Femme fatale, Short, Slim, Heart-Shaped Face, Dark Skin, Chestnut Hair, silver Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Fishtail Braid, round breasts, Faux gauge earrings, berry metallic lipstick
Sapphire, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Outfitted, Lady, Tall, Slim, Diamond-Shaped Face, Dark Skin, White Hair, Brown Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob with Layers, large breasts, Drop earrings, violet gloss lipstick
Quartz, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Bedecked, Charmer, Average Height, Toned, Heart-Shaped Face, Olive Skin, Dark Brown Hair, Brown Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Thick Hair, Viking Braid, natural breasts, Stud earrings, golden metallic lipstick
Obsidian, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Wrapped, Madame, Average Height, Toned, Oval Face, Tan Skin, Silver Hair, amber Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Wavy Layered Bob, large breasts, Clip-on earrings, plum matte lipstick
Alexandrite, A crystalized formation with jagged edges, resembling a miniature mountain range, Attired, Woman, Short, Lean, Round Face, Fair Skin, Silver Hair, purple Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Straight Bob, round breasts, , red velvet lipstick
Emerald, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Appareled, Phenom, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Silver Hair, silver Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair, large breasts, Threader earrings, hot pink gloss lipstick
Aquamarine, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Veiled, Phenom, Average Height, Lean, Oval Face, Fair Skin, Strawberry Blonde Hair, brown Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Braided Updo, saggy breasts, Dangle earrings, peach satin lipstick
Iolite, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Bedecked, Songstress, Average Height, Athletic, Oval Face, Tan Skin, Red Hair, Hazel Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Straight Bob, saggy breasts, Cuff earrings, berry metallic lipstick
Peridot, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Appareled, Duchess, Short, in shape, Triangular Face, Olive Skin, Light Brown Hair, silver Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Tapered Afro, augmented breasts, Drop earrings, cream satin lipstick
Tourmaline, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Arrayed, Songstress, Average Height, Skinny, Round Face, Tan Skin, Blonde Hair, green Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Fluffy Afro, small breasts, Hoop earrings, orange gloss lipstick
Diamond, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Arrayed, Artist, Tall, Lean, Diamond-Shaped Face, Fair Skin, Blonde Hair, hazel Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Fishbone Braid, full breasts, Huggie earrings, plum cream lipstick
Emerald, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Vestured, Songstress, Short, Lean, Round Face, Dark Skin, Dark Brown Hair, jade Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Updo, perky breasts, Drop earrings, orange cream lipstick
Topaz, Crystals that grow in clusters, creating a textured and multidimensional surface, Enrobed, Luminary, Short, Wide Hips, Heart-Shaped Face, Dark Skin, Gray Hair, black Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, firm breasts, Stud earrings, plum stain lipstick
Moonstone, A network of crystalized branches, capturing the beauty of nature's delicate formations, Togged, Vixen, Tall, Slim, Round Face, Dark Skin, Auburn Hair, Blue Eyes with Green Flecks, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Updo, round breasts, Dangle earrings, gloss matte lipstick
Aventurine, A network of crystalized branches, capturing the beauty of nature's delicate formations, Hooded, Female Viking, Tall, Wide Hips, Round Face, Fair Skin, Light Brown Hair, Blue Eyes with Green Flecks, Long Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Blunt Bangs, round breasts, Hoop earrings, peach matte lipstick
Citrine, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Caparisoned, Heiress, Average Height, Thin, Diamond-Shaped Face, Tan Skin, Blonde Hair, Amber Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, High Messy Bun, perky breasts, Faux gauge earrings, orange velvet lipstick
Alexandrite, A crystalized formation with jagged edges, resembling a miniature mountain range, Covered, Superwoman, Average Height, Fit, Square Face, Tan Skin, Gray Hair, Blue Eyes with Green Flecks, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Blunt Cut Bangs, saggy breasts, Drop earrings, burgundy matte lipstick
Malachite, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Arrayed, Babe, Short, Thin, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, ruby Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Shoulder-Length Curls, soft breasts, Drop earrings, peach gloss lipstick
Garnet, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Wearing, Countess, Average Height, Slim, Oval Face, Fair Skin, Dark Brown Hair, black Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Low Ponytail, perky breasts, Threader earrings, coral cream lipstick
Topaz, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Adorned with, Vixen, Tall, Toned, Oval Face, Olive Skin, White Hair, green Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, French Twist, natural breasts, , terracotta sheer lipstick
Amethyst, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Festooned, Empress, Tall, Skinny, Oval Face, Fair Skin, Light Brown Hair, turquoise Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Dutch Braid, round breasts, Drop earrings, pink satin lipstick
Citrine, Transparent crystals that refract light, casting beautiful prisms and rainbows, Decked out, Sensation, Average Height, Thin, Round Face, Tan Skin, Platinum Blonde Hair, Amber Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Wavy Bob, soft breasts, Huggie earrings, beige sheer lipstick
Aquamarine, A crystalized formation with sharp edges and intricate geometric patterns, Decked out, Seductress, Short, Lean, Square Face, Fair Skin, Dark Brown Hair, Brown Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Shoulder-Length Curls, small breasts, Clip-on earrings, green metallic lipstick
Obsidian, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Shrouded, Charmer, Average Height, Fit, Oval Face, Dark Skin, Red Hair, yellow Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Layered Bob, perky breasts, Clip-on earrings, silver metallic lipstick
Sapphire, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Arrayed, Enigma, Average Height, Toned, Triangular Face, Fair Skin, Chestnut Hair, jade Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Braided Headband, soft breasts, , plum gloss lipstick
Malachite, Crystals that grow in clusters, creating a textured and multidimensional surface, Swathed, Songstress, Short, Skinny, Round Face, Olive Skin, Black Hair, amber Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Twisted Bun, soft breasts, Clip-on earrings, red satin lipstick
Diamond, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Covered, Dame, Tall, Skinny, Square Face, Dark Skin, Dark Brown Hair, Green Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Low Chignon, augmented breasts, Clip-on earrings, teal metallic lipstick
Jade, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Embellished, Artist, Tall, Fit, Diamond-Shaped Face, Dark Skin, Auburn Hair, silver Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Wedding Updo, firm breasts, Faux gauge earrings, light pink velvet lipstick
Labradorite, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Clad, Enigma, Average Height, Slim, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Straight Bob with Layers, firm breasts, Threader earrings, magenta matte lipstick
Agate, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Covered, Lady, Short, Fit, Heart-Shaped Face, Tan Skin, Gray Hair, light blue Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Herringbone Braid, full breasts, Huggie earrings, berry stain lipstick
Ruby, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Curtained, Charmer, Tall, Firm, Triangular Face, Olive Skin, Brunette Hair, coral Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, French Twist, large breasts, Threader earrings, plum stain lipstick
Citrine, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Swathed, Mistress, Short, Fit, Heart-Shaped Face, Tan Skin, Light Brown Hair, amber Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Short Afro, large breasts, Huggie earrings, violet stain lipstick
Jade, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Shrouded, Baroness, Tall, Fit, Heart-Shaped Face, Tan Skin, Black Hair, gold Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Long Curly Hair, round breasts, Threader earrings, mauve sheer lipstick
Amethyst, A crystalized formation with sharp edges and intricate geometric patterns, Clad, Lady, Short, Skinny, Round Face, Dark Skin, Light Brown Hair, dark brown Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Stacked Bob, augmented breasts, Hoop earrings, coral stain lipstick
Citrine, Transparent crystals that refract light, casting beautiful prisms and rainbows, Clad, Madame, Average Height, Narrow Hips, Square Face, Dark Skin, Brunette Hair, blue Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Afro, round breasts, Cuff earrings, beige stain lipstick
Coral, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Wrapped up, Maven, Short, Thin, Triangular Face, Olive Skin, Platinum Blonde Hair, Brown Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, High Chignon, soft breasts, Huggie earrings, teal stain lipstick
Moonstone, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Garbed, Female Viking, Tall, Skinny, Heart-Shaped Face, Tan Skin, Silver Hair, amethyst Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, High Chignon, augmented breasts, Faux gauge earrings, terracotta stain lipstick
Diamond, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Outfitted, Goddess, Average Height, Skinny, Diamond-Shaped Face, Tan Skin, Light Brown Hair, black Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Blunt Bangs, natural breasts, Cuff earrings, beige matte lipstick
Peridot, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Decked out, Enchantress, Short, Slim, Heart-Shaped Face, Fair Skin, Platinum Blonde Hair, Brown Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, soft breasts, , cream matte lipstick
Hematite, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Arrayed, Songstress, Tall, Wide Hips, Oval Face, Dark Skin, White Hair, grey Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Layered Bob, large breasts, , soft pink cream lipstick
Onyx, A network of crystalized branches, capturing the beauty of nature's delicate formations, Gowned, Phenom, Average Height, Firm, Round Face, Tan Skin, Platinum Blonde Hair, red Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fancy Updo, asymmetrical breasts, Dangle earrings, teal satin lipstick
Citrine, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Adorned with, Enigma, Short, Narrow Hips, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, amber Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Fauxhawk, soft breasts, Faux gauge earrings, beige velvet lipstick
Coral, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Draped, Belle, Tall, Firm, Triangular Face, Fair Skin, Gray Hair, Blue Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Fine Hair, Wavy Updo, augmented breasts, Drop earrings, beige metallic lipstick
Malachite, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Hooded, Mistress, Short, in shape, Square Face, Tan Skin, Honey Blonde Hair, red Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, High Bun, small breasts, Huggie earrings, berry velvet lipstick
Jade, Crystals that grow in clusters, creating a textured and multidimensional surface, Robed, Enchantress, Tall, Narrow Hips, Triangular Face, Olive Skin, Dark Brown Hair, pink Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Middle Part Bangs, soft breasts, Huggie earrings, beige stain lipstick
Lapis Lazuli, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Enrobed, Seductress, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, White Hair, coral Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Tousled Waves, perky breasts, Dangle earrings, violet gloss lipstick
Turquoise, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Enveloped, Vixen, Tall, Narrow Hips, Oval Face, Dark Skin, Light Brown Hair, silver Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Triple Braided Crown, asymmetrical breasts, Drop earrings, grape gloss lipstick
Quartz, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Mantled, Enchantress, Average Height, Toned, Heart-Shaped Face, Tan Skin, Gray Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Braided Crown, augmented breasts, Threader earrings, teal satin lipstick
Onyx, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Covered, Countess, Average Height, Athletic, Square Face, Olive Skin, Gray Hair, amethyst Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Crown Braid, augmented breasts, Dangle earrings, pink matte lipstick
Amethyst, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Bedecked, Siren, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Fluffy Afro, large breasts, Stud earrings, rose cream lipstick
Obsidian, Transparent crystals that refract light, casting beautiful prisms and rainbows, Clothed in, Lady, Average Height, Slim, Triangular Face, Tan Skin, Dark Brown Hair, green Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Thick Hair, Fauxhawk, augmented breasts, Stud earrings, beige cream lipstick
Tourmaline, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Covered, Visionary, Average Height, Wide Hips, Diamond-Shaped Face, Fair Skin, White Hair, Amber Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Long Wavy Hair, firm breasts, Faux gauge earrings, green sheer lipstick
Coral, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Robed, Chanteuse, Tall, in shape, Oval Face, Dark Skin, Honey Blonde Hair, teal Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Rope Braid, small breasts, Drop earrings, berry velvet lipstick
Lapis Lazuli, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Arrayed, Belle, Tall, Lean, Oval Face, Olive Skin, Golden Blonde Hair, ice blue Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, French Roll, firm breasts, Hoop earrings, orange gloss lipstick
Labradorite, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Embellished, Queen, Tall, Slim, Heart-Shaped Face, Tan Skin, Silver Hair, Brown Eyes with Green Flecks, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Twisted Bun, firm breasts, Threader earrings, rose velvet lipstick
Labradorite, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Outfitted, Chanteuse, Short, Wide Hips, Square Face, Dark Skin, Dark Brown Hair, yellow Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Wavy Bob, large breasts, Hoop earrings, black matte lipstick
Lapis Lazuli, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Arrayed, Baroness, Short, Narrow Hips, Square Face, Tan Skin, Strawberry Blonde Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Braided Updo, round breasts, Dangle earrings, fuchsia satin lipstick
Agate, Crystals that grow in clusters, creating a textured and multidimensional surface, Wrapped up, Queen, Average Height, Lean, Oval Face, Fair Skin, Dark Brown Hair, turquoise Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Low Ponytail, large breasts, Dangle earrings, fuchsia sheer lipstick
Jade, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Habited, Artist, Average Height, Thin, Square Face, Dark Skin, Platinum Blonde Hair, dark brown Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Dutch Braid, large breasts, Dangle earrings, orange gloss lipstick
Coral, A network of crystalized branches, capturing the beauty of nature's delicate formations, Gowned, Baroness, Average Height, Firm, Diamond-Shaped Face, Dark Skin, Light Brown Hair, ruby Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Straight Bob with Layers, large breasts, Stud earrings, golden sheer lipstick
Aventurine, A crystalized formation with jagged edges, resembling a miniature mountain range, Hooded, Trailblazer, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Gray Hair, green Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Braided Headband, large breasts, Huggie earrings, hot pink stain lipstick
Tourmaline, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Festooned, Enigma, Tall, Narrow Hips, Oval Face, Fair Skin, White Hair, Brown Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Middle Part Bangs, natural breasts, Stud earrings, cream satin lipstick
Coral, Crystals that grow in clusters, creating a textured and multidimensional surface, Garbed, Chanteuse, Short, Thin, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, brown Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Lace Braid, full breasts, Hoop earrings, violet matte lipstick
Lapis Lazuli, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Gowned, Dame, Average Height, Lean, Triangular Face, Fair Skin, Strawberry Blonde Hair, amber Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Tapered Afro, augmented breasts, Huggie earrings, cherry sheer lipstick
Topaz, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Appareled, Female Warrior, Short, Wide Hips, Heart-Shaped Face, Tan Skin, Auburn Hair, pink Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Stacked Bob, round breasts, Threader earrings, brown metallic lipstick
Diamond, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Clad, Songstress, Average Height, Toned, Square Face, Fair Skin, Gray Hair, red Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Sleek Waves, perky breasts, Dangle earrings, burgundy cream lipstick
Emerald, A crystalized formation with jagged edges, resembling a miniature mountain range, Enrobed, Starlet, Short, Narrow Hips, Diamond-Shaped Face, Fair Skin, Chestnut Hair, coral Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Bun, round breasts, Cuff earrings, orange metallic lipstick
Garnet, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Adorned, Woman, Short, Thin, Round Face, Tan Skin, Gray Hair, coral Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Donut Bun, firm breasts, Dangle earrings, peach gloss lipstick
Ruby, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Mantled, Babe, Short, in shape, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, jade Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Boho Braid, small breasts, Dangle earrings, green stain lipstick
Amethyst, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Clothed in, Female Viking, Average Height, in shape, Square Face, Dark Skin, Light Brown Hair, Gray Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Bangs with Highlights, round breasts, , gloss velvet lipstick
Malachite, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Caparisoned, Artist, Short, Slim, Square Face, Olive Skin, Brunette Hair, turquoise Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Viking Braid, full breasts, Hoop earrings, fuchsia velvet lipstick
Garnet, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Enveloped, Woman, Short, Thin, Diamond-Shaped Face, Olive Skin, Brunette Hair, pink Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, augmented breasts, Drop earrings, peach sheer lipstick
Diamond, Crystals that grow in clusters, creating a textured and multidimensional surface, Robed, Songstress, Tall, Skinny, Round Face, Olive Skin, Strawberry Blonde Hair, ruby Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Straight Bob with Layers, saggy breasts, Dangle earrings, cream velvet lipstick
Diamond, Transparent crystals that refract light, casting beautiful prisms and rainbows, Covered, Queen, Short, Lean, Oval Face, Dark Skin, Silver Hair, yellow Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Wavy Layered Bob, natural breasts, Clip-on earrings, soft pink gloss lipstick
