Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Dystopian metropolis
Charmer, Short, Wide Hips, Oval Face, Olive Skin, Platinum Blonde Hair, pink Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Swept Bangs, soft breasts, Stud earrings, rose stain lipstick,  inside ((  wearing  Bike shorts compression top and tank top )), Post-apocalyptic wasteland
Baroness, Average Height, Firm, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, teal Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Long Straight Hair, perky breasts, Clip-on earrings, black satin lipstick,  inside ((  wearing  Swimwear )), Giant space station
Miss, Tall, Toned, Triangular Face, Tan Skin, Auburn Hair, gold Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Fishbone Braid, large breasts, Drop earrings, beige cream lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Frozen tundra with icy mountains
Gal, Average Height, Lean, Oval Face, Tan Skin, Gray Hair, ruby Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Curled Bob, round breasts, Drop earrings, teal gloss lipstick,  inside ((  wearing  Athletic jumpsuit )), City floating in the clouds
Songstress, Short, Firm, Diamond-Shaped Face, Tan Skin, Light Brown Hair, teal Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Ballerina Bun, augmented breasts, Dangle earrings, brown satin lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Frozen tundra with icy mountains
Vixen, Tall, in shape, Heart-Shaped Face, Olive Skin, White Hair, ice blue Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Loose Waves, full breasts, Dangle earrings, green matte lipstick,  inside ((  wearing  Slimfit tracksuit )), Frozen tundra with icy mountains
Enigma, Short, Fit, Round Face, Fair Skin, Auburn Hair, yellow Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Long Straight Hair, full breasts, Huggie earrings, rose gloss lipstick,  inside ((  wearing  Surfing wetsuit )), Alien planet with bioluminescent flora
Enigma, Short, Wide Hips, Oval Face, Dark Skin, Honey Blonde Hair, ruby Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Messy Beach Waves, augmented breasts, Faux gauge earrings, terracotta metallic lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), City floating in the clouds
Diva, Average Height, Slim, Square Face, Fair Skin, Honey Blonde Hair, purple Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Afro, saggy breasts, Huggie earrings, gloss satin lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Underwater research facility
Maven, Tall, Skinny, Triangular Face, Fair Skin, Strawberry Blonde Hair, green Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Angled Bob, perky breasts, Cuff earrings, golden metallic lipstick,  inside ((  wearing  Spandex shorts and compression top )), Frozen tundra with icy mountains
Chanteuse, Tall, Lean, Oval Face, Tan Skin, Gray Hair, purple Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Long Curly Hair, saggy breasts, Dangle earrings, magenta satin lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Jungle planet filled with dangerous creatures
Luminary, Tall, in shape, Round Face, Fair Skin, Silver Hair, green Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Short Afro, saggy breasts, Hoop earrings, golden matte lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), Jungle planet filled with dangerous creatures
Dame, Tall, Wide Hips, Round Face, Tan Skin, Silver Hair, teal Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Sleek Waves, augmented breasts, , golden stain lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Dystopian metropolis
Temptress, Average Height, Fit, Square Face, Dark Skin, Honey Blonde Hair, Gray Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Straight Bob, small breasts, Dangle earrings, light pink satin lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Barren desert planet
Heiress, Short, Toned, Round Face, Olive Skin, Red Hair, Blue Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Formal Updo, saggy breasts, Threader earrings, violet velvet lipstick,  inside ((  wearing  leggings and tank top )), City floating in the clouds
Femme fatale, Short, Athletic, Heart-Shaped Face, Tan Skin, White Hair, Blue Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, small breasts, , coral cream lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), City floating in the clouds
Chanteuse, Average Height, Fit, Square Face, Fair Skin, Blonde Hair, Brown Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Chignon, asymmetrical breasts, Clip-on earrings, berry satin lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Barren desert planet
Queen, Average Height, Lean, Triangular Face, Fair Skin, Red Hair, red Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fauxhawk, asymmetrical breasts, Huggie earrings, hot pink stain lipstick,  inside ((  wearing  leggings and tank top )), Alien planet with bioluminescent flora
Goddess, Short, in shape, Round Face, Tan Skin, Platinum Blonde Hair, aquamarine Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, asymmetrical breasts, Faux gauge earrings, orange sheer lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Alien planet with bioluminescent flora
Gal, Short, Fit, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, hazel Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Boho Braid, saggy breasts, Huggie earrings, cream velvet lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Post-apocalyptic wasteland
Countess, Tall, Firm, Square Face, Tan Skin, Chestnut Hair, grey-blue Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Fringed Bangs, asymmetrical breasts, Threader earrings, terracotta matte lipstick,  inside ((  wearing  Golf pants and golf polo )), Barren desert planet
Femme fatale, Short, Toned, Heart-Shaped Face, Tan Skin, Gray Hair, pink Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Four-Strand Braid, natural breasts, Threader earrings, fuchsia velvet lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Jungle planet filled with dangerous creatures
Belle, Average Height, Narrow Hips, Triangular Face, Dark Skin, Gray Hair, turquoise Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Side French Braid, full breasts, , beige matte lipstick,  inside ((  wearing  Athletic dress )), Desolate lunar surface
Trailblazer, Average Height, Toned, Heart-Shaped Face, Tan Skin, Silver Hair, ruby Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Tousled Waves, soft breasts, Stud earrings, coral matte lipstick,  inside ((  wearing  Athletic jumpsuit )), Giant space station
Artist, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Red Hair, Blue Eyes with Green Flecks, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, small breasts, Stud earrings, rose gloss lipstick,  inside ((  wearing  Crossfit shorts and crossfit tank top )), Post-apocalyptic wasteland
Sensation, Tall, Skinny, Round Face, Fair Skin, Brunette Hair, green Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fauxhawk, natural breasts, Hoop earrings, peach stain lipstick,  inside ((  wearing  Crossfit shorts and crossfit tank top )), Post-apocalyptic wasteland
Heiress, Tall, Athletic, Oval Face, Olive Skin, Blonde Hair, grey-blue Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Formal Braided Updo, perky breasts, Stud earrings, burgundy sheer lipstick,  inside ((  wearing  Basketball shorts tank top and basketball jersey )), Post-apocalyptic wasteland
Female Warrior, Short, Athletic, Triangular Face, Olive Skin, White Hair, ruby Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Messy Beach Waves, augmented breasts, Cuff earrings, beige matte lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Alien planet with bioluminescent flora
Enigma, Average Height, Thin, Square Face, Dark Skin, Gray Hair, light blue Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Wavy Bob, soft breasts, Stud earrings, green sheer lipstick,  inside ((  wearing  High-impact sports bra mesh leggings and cropped hoodie )), Dystopian metropolis
Starlet, Short, Slim, Round Face, Dark Skin, Platinum Blonde Hair, blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Waterfall Braid, small breasts, Cuff earrings, light pink cream lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Frozen tundra with icy mountains
Enigma, Short, Narrow Hips, Round Face, Tan Skin, White Hair, Sapphire Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Herringbone Braid, natural breasts, Hoop earrings, fuchsia metallic lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), City floating in the clouds
Babe, Average Height, Narrow Hips, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, pink Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Layered Bob, asymmetrical breasts, Hoop earrings, violet gloss lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Frozen tundra with icy mountains
Luminary, Short, Toned, Round Face, Fair Skin, Brunette Hair, coral Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Layered Bob, full breasts, Cuff earrings, mauve satin lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Dystopian metropolis
Madame, Tall, Lean, Triangular Face, Fair Skin, Blonde Hair, red Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Double Braided Crown, full breasts, , violet sheer lipstick,  inside ((  wearing  Boxing leggings and boxing hoodie )), Jungle planet filled with dangerous creatures
Songstress, Tall, Thin, Oval Face, Dark Skin, Auburn Hair, dark brown Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Bob with Bangs, soft breasts, Threader earrings, red sheer lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Frozen tundra with icy mountains
Vixen, Tall, Athletic, Heart-Shaped Face, Tan Skin, Silver Hair, aquamarine Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob with Layers, saggy breasts, Dangle earrings, pink cream lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Alien planet with bioluminescent flora
Sensation, Average Height, Lean, Square Face, Dark Skin, Golden Blonde Hair, purple Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, violet cream lipstick,  inside ((  wearing  leggings and tank top )), City floating in the clouds
Madam, Short, Firm, Heart-Shaped Face, Dark Skin, Silver Hair, brown Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Messy Top Knot, large breasts, Hoop earrings, mauve satin lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Post-apocalyptic wasteland
Duchess, Tall, Athletic, Triangular Face, Fair Skin, White Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Ballerina Bun, augmented breasts, Stud earrings, berry metallic lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), Jungle planet filled with dangerous creatures
Enigma, Short, Thin, Heart-Shaped Face, Tan Skin, Golden Blonde Hair, ruby Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Loose Waves, firm breasts, Huggie earrings, cream gloss lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Frozen tundra with icy mountains
Sensation, Average Height, Fit, Round Face, Tan Skin, Red Hair, brown Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Fishtail Braid, saggy breasts, Stud earrings, gloss satin lipstick,  inside ((  wearing  Golf pants and golf polo )), Barren desert planet
Escort, Tall, Fit, Diamond-Shaped Face, Tan Skin, Black Hair, grey-blue Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Fauxhawk, large breasts, Cuff earrings, rust gloss lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Dystopian metropolis
Empress, Short, in shape, Oval Face, Tan Skin, Black Hair, Blue Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Frohawk, large breasts, Dangle earrings, beige matte lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Frozen tundra with icy mountains
Female Warrior, Tall, Thin, Round Face, Fair Skin, Chestnut Hair, amethyst Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Blunt Bangs, firm breasts, Faux gauge earrings, pink gloss lipstick,  inside ((  wearing  Swimwear )), Desolate lunar surface
Chanteuse, Tall, Narrow Hips, Square Face, Dark Skin, Red Hair, coral Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Twisted Bun, asymmetrical breasts, Stud earrings, violet stain lipstick,  inside ((  wearing  Compression top and yoga pants )), Frozen tundra with icy mountains
Diva, Short, Wide Hips, Square Face, Tan Skin, Platinum Blonde Hair, ruby Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Four-Strand Braid, augmented breasts, Stud earrings, golden sheer lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), Giant space station
Gal, Tall, in shape, Heart-Shaped Face, Tan Skin, Red Hair, coral Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Wavy Layered Bob, soft breasts, Cuff earrings, black cream lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), Frozen tundra with icy mountains
Songstress, Average Height, Wide Hips, Triangular Face, Olive Skin, Gray Hair, peach Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, French Braid, saggy breasts, Cuff earrings, violet matte lipstick,  inside ((  wearing  High-impact sports bra mesh leggings and cropped hoodie )), Post-apocalyptic wasteland
Luminary, Average Height, Thin, Triangular Face, Fair Skin, White Hair, yellow Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Loose Curls, soft breasts, Cuff earrings, coral satin lipstick,  inside ((  wearing  Compression top and yoga pants )), Frozen tundra with icy mountains
Female Viking, Average Height, Firm, Square Face, Dark Skin, White Hair, hazel Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Sleek Bun, perky breasts, Stud earrings, violet metallic lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Alien planet with bioluminescent flora
Miss, Short, in shape, Oval Face, Fair Skin, Black Hair, yellow Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Thick Hair, High Ponytail, large breasts, Dangle earrings, magenta sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Desolate lunar surface
Countess, Average Height, Skinny, Square Face, Tan Skin, Strawberry Blonde Hair, silver Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Bob with Bangs, large breasts, Stud earrings, berry sheer lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Dystopian metropolis
Babe, Average Height, Fit, Heart-Shaped Face, Dark Skin, Light Brown Hair, gold Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, small breasts, Dangle earrings, burgundy sheer lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Underwater research facility
Luminary, Tall, Slim, Square Face, Olive Skin, Brunette Hair, light blue Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Side French Braid, saggy breasts, Hoop earrings, light pink matte lipstick,  inside ((  wearing  Gym shorts and muscle tank )), Alien planet with bioluminescent flora
Visionary, Tall, Slim, Heart-Shaped Face, Fair Skin, Chestnut Hair, dark brown Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Fishtail Braid, full breasts, Dangle earrings, rust satin lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), Frozen tundra with icy mountains
Mistress, Average Height, Thin, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, black Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, Low Ponytail, augmented breasts, Drop earrings, light pink sheer lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Barren desert planet
Enchantress, Short, Fit, Heart-Shaped Face, Dark Skin, Blonde Hair, peach Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Messy Top Knot, saggy breasts, Huggie earrings, orange sheer lipstick,  inside ((  wearing  Swimwear )), Barren desert planet
Madame, Short, Fit, Square Face, Fair Skin, Red Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Rope Braid, perky breasts, Stud earrings, cream metallic lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Dystopian metropolis
Visionary, Average Height, in shape, Square Face, Fair Skin, Gray Hair, light blue Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Fluffy Afro, large breasts, Dangle earrings, mauve cream lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Jungle planet filled with dangerous creatures
Charmer, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, White Hair, Brown Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Long Curly Hair, large breasts, Cuff earrings, teal matte lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Jungle planet filled with dangerous creatures
Belle, Short, Narrow Hips, Diamond-Shaped Face, Tan Skin, Silver Hair, jade Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Fringed Bangs, saggy breasts, , cherry cream lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Post-apocalyptic wasteland
Female Warrior, Average Height, Toned, Heart-Shaped Face, Tan Skin, Gray Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Short Afro, large breasts, , cream satin lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Barren desert planet
Enigma, Average Height, in shape, Heart-Shaped Face, Dark Skin, White Hair, amber Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Long Straight Hair, saggy breasts, Dangle earrings, terracotta stain lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Post-apocalyptic wasteland
Charmer, Tall, in shape, Oval Face, Dark Skin, Brunette Hair, ruby Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Braided Headband, small breasts, Threader earrings, hot pink velvet lipstick,  inside ((  wearing  Spandex shorts and compression top )), Post-apocalyptic wasteland
Belle, Average Height, Thin, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, black Eyes, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, French Roll, saggy breasts, , mauve satin lipstick,  inside ((  wearing  Boxing leggings and boxing hoodie )), Desolate lunar surface
Phenom, Short, Toned, Oval Face, Dark Skin, White Hair, amethyst Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Four-Strand Braid, small breasts, Hoop earrings, hot pink stain lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Desolate lunar surface
Femme fatale, Short, Toned, Square Face, Fair Skin, Black Hair, coral Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, French Roll, soft breasts, Clip-on earrings, teal matte lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Post-apocalyptic wasteland
Queen, Average Height, Skinny, Round Face, Olive Skin, Gray Hair, grey-blue Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, French Roll, round breasts, Faux gauge earrings, pink stain lipstick,  inside ((  wearing  Athletic jumpsuit )), Frozen tundra with icy mountains
Gal, Average Height, Lean, Round Face, Olive Skin, Brunette Hair, silver Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Boho Braid, augmented breasts, Clip-on earrings, grape gloss lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Post-apocalyptic wasteland
Enigma, Short, Firm, Diamond-Shaped Face, Dark Skin, Blonde Hair, amethyst Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Sleek Waves, round breasts, , plum velvet lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Underwater research facility
Female Viking, Tall, Lean, Diamond-Shaped Face, Tan Skin, Light Brown Hair, light blue Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Wavy Hair, Fishbone Braid, firm breasts, Hoop earrings, lavender metallic lipstick,  inside ((  wearing  Slimfit tracksuit )), Desolate lunar surface
Belle, Average Height, Firm, Round Face, Tan Skin, Gray Hair, Hazel Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Top Knot, round breasts, Threader earrings, light pink matte lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), Barren desert planet
Female Warrior, Average Height, Fit, Oval Face, Tan Skin, White Hair, amethyst Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, High Messy Bun, firm breasts, Threader earrings, magenta matte lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Desolate lunar surface
Vixen, Tall, Toned, Square Face, Olive Skin, Gray Hair, ice blue Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, round breasts, Drop earrings, light pink metallic lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Dystopian metropolis
Babe, Average Height, Firm, Round Face, Fair Skin, Chestnut Hair, Hazel Eyes with Green Flecks, Short Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Donut Bun, augmented breasts, Clip-on earrings, berry satin lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Jungle planet filled with dangerous creatures
Belle, Tall, Athletic, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, Gray Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Four-Strand Braid, asymmetrical breasts, Hoop earrings, golden velvet lipstick,  inside ((  wearing  Golf pants and golf polo )), Giant space station
Goddess, Short, Lean, Oval Face, Fair Skin, Honey Blonde Hair, green Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Double Braided Crown, perky breasts, Clip-on earrings, brown metallic lipstick,  inside ((  wearing  Surfing wetsuit )), Underwater research facility
Diva, Short, Slim, Round Face, Fair Skin, Strawberry Blonde Hair, teal Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Fishbone Braid, saggy breasts, Clip-on earrings, mauve stain lipstick,  inside ((  wearing  Slimfit tracksuit )), Jungle planet filled with dangerous creatures
Chanteuse, Tall, Athletic, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Long Curly Hair, natural breasts, Clip-on earrings, berry matte lipstick,  inside ((  wearing  Running shorts and tank top )), City floating in the clouds
Empress, Tall, Slim, Round Face, Fair Skin, Light Brown Hair, jade Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Straight Hair, French Twist, saggy breasts, Huggie earrings, violet gloss lipstick,  inside ((  wearing  Track pants and running singlet )), Underwater research facility
Siren, Short, Narrow Hips, Square Face, Fair Skin, Platinum Blonde Hair, yellow Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Bob with Bangs, natural breasts, Drop earrings, soft pink cream lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Giant space station
Countess, Tall, Thin, Square Face, Olive Skin, Blonde Hair, brown Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Afro, large breasts, Stud earrings, beige satin lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Post-apocalyptic wasteland
Female Warrior, Average Height, Lean, Heart-Shaped Face, Dark Skin, Red Hair, ruby Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Messy Top Knot, saggy breasts, Hoop earrings, gloss metallic lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Giant space station
Woman, Average Height, Lean, Triangular Face, Tan Skin, Brunette Hair, coral Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob, small breasts, Stud earrings, mauve sheer lipstick,  inside ((  wearing  Yoga pants and loose tank top )), City floating in the clouds
Madame, Short, Wide Hips, Square Face, Dark Skin, Black Hair, turquoise Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Messy Bun, augmented breasts, Huggie earrings, magenta stain lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Jungle planet filled with dangerous creatures
Visionary, Short, Fit, Triangular Face, Tan Skin, Chestnut Hair, ruby Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishtail Crown Braid, saggy breasts, Cuff earrings, berry stain lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Giant space station
Gal, Average Height, Lean, Triangular Face, Fair Skin, Dark Brown Hair, Hazel Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Angled Bob, small breasts, Hoop earrings, lavender stain lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Underwater research facility
Goddess, Average Height, Athletic, Round Face, Fair Skin, Silver Hair, jade Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Braided Crown, saggy breasts, Clip-on earrings, violet cream lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Underwater research facility
Baroness, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Blonde Hair, grey Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Blunt Bangs, round breasts, Huggie earrings, burgundy sheer lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Jungle planet filled with dangerous creatures
Femme fatale, Average Height, Athletic, Square Face, Dark Skin, Golden Blonde Hair, red Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Braided Half Up, perky breasts, Drop earrings, berry gloss lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Jungle planet filled with dangerous creatures
Maven, Tall, Fit, Square Face, Olive Skin, Dark Brown Hair, peach Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, asymmetrical breasts, Drop earrings, berry cream lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Jungle planet filled with dangerous creatures
