Sundresses, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
Halter dresses, Songstress, Tall, Firm, Round Face, Dark Skin, Blonde Hair, light blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Fishbone Braid, large breasts, , fuchsia cream lipstick
Caftans, Miss, Tall, Wide Hips, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, High Chignon, asymmetrical breasts, Dangle earrings, mauve sheer lipstick
Rompers, Goddess, Tall, Athletic, Square Face, Olive Skin, Blonde Hair, gold Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Shaggy Cut, asymmetrical breasts, Cuff earrings, coral matte lipstick
Short dresses, Visionary, Average Height, Narrow Hips, Triangular Face, Olive Skin, Silver Hair, Brown Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Beach Waves, large breasts, Faux gauge earrings, cherry metallic lipstick
Sundresses, Baroness, Average Height, Narrow Hips, Triangular Face, Olive Skin, Silver Hair, Brown Eyes with Green Flecks, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Angled Bob, natural breasts, Drop earrings, rose gloss lipstick
Caftans, Woman, Tall, Narrow Hips, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, green Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Messy Bun, natural breasts, Dangle earrings, orange velvet lipstick
Strapless dresses, Miss, Short, Lean, Square Face, Tan Skin, Silver Hair, amethyst Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Fine Hair, French Roll, saggy breasts, Dangle earrings, light pink gloss lipstick
Spaghetti strap dresses, Madame, Average Height, Firm, Triangular Face, Tan Skin, White Hair, Brown Eyes with Green Flecks, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Short Afro, large breasts, Drop earrings, violet velvet lipstick
Jumpsuits, Enchantress, Average Height, Firm, Round Face, Fair Skin, Dark Brown Hair, aquamarine Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Curly Afro, round breasts, Huggie earrings, terracotta gloss lipstick
Strapless dresses, Heiress, Tall, Firm, Triangular Face, Olive Skin, Light Brown Hair, peach Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Tapered Afro, firm breasts, Cuff earrings, cherry matte lipstick
Maxi dresses, Babe, Average Height, Athletic, Triangular Face, Dark Skin, Gray Hair, blue Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Wavy Bob, soft breasts, Cuff earrings, berry velvet lipstick
Off-the-shoulder dresses, Madam, Tall, Toned, Oval Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Coarse Hair, Braided Crown, round breasts, Clip-on earrings, lavender sheer lipstick
Rompers, Maven, Average Height, Skinny, Diamond-Shaped Face, Tan Skin, Light Brown Hair, gold Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Formal Braided Updo, natural breasts, Stud earrings, red velvet lipstick
Sleeveless dresses, Heiress, Average Height, Firm, Oval Face, Olive Skin, Chestnut Hair, green Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Long Wavy Hair, large breasts, Cuff earrings, orange satin lipstick
Maxi dresses, Dame, Short, in shape, Round Face, Fair Skin, Auburn Hair, pink Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Fluffy Afro, natural breasts, Dangle earrings, coral matte lipstick
Short dresses, Temptress, Tall, Narrow Hips, Oval Face, Dark Skin, Dark Brown Hair, Brown Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, High Bun, full breasts, Hoop earrings, teal satin lipstick
Caftans, Femme fatale, Tall, Wide Hips, Triangular Face, Tan Skin, Golden Blonde Hair, pink Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Dutch Braid, large breasts, Stud earrings, beige matte lipstick
Spaghetti strap dresses, Songstress, Tall, Toned, Round Face, Dark Skin, Dark Brown Hair, pink Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Side-Swept Bangs, saggy breasts, Cuff earrings, peach metallic lipstick
Sundresses, Duchess, Short, Athletic, Round Face, Olive Skin, Honey Blonde Hair, Brown Eyes with Green Flecks, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Half Up Half Down, saggy breasts, Clip-on earrings, berry sheer lipstick
Short dresses, Chanteuse, Short, Fit, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, Amber Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Fringed Bangs, natural breasts, Threader earrings, terracotta stain lipstick
Sundresses, Superwoman, Short, Wide Hips, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Blunt Bangs, small breasts, Hoop earrings, shimmer metallic lipstick
Maxi dresses, Countess, Average Height, Slim, Square Face, Tan Skin, White Hair, ruby Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sleek Straight Hair, soft breasts, Clip-on earrings, terracotta metallic lipstick
Sleeveless dresses, Lady, Short, in shape, Triangular Face, Tan Skin, Platinum Blonde Hair, brown Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Side-Swept Bangs, soft breasts, Clip-on earrings, cherry sheer lipstick
Short dresses, Phenom, Short, Narrow Hips, Round Face, Dark Skin, White Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Fine Hair, Fishtail Braid, firm breasts, Huggie earrings, soft pink metallic lipstick
Short dresses, Enchantress, Average Height, in shape, Round Face, Dark Skin, Platinum Blonde Hair, coral Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, full breasts, Clip-on earrings, red satin lipstick
Rompers, Enigma, Short, in shape, Heart-Shaped Face, Fair Skin, White Hair, dark brown Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Blunt Cut Bangs, large breasts, Hoop earrings, peach sheer lipstick
Sleeveless dresses, Baroness, Average Height, Thin, Triangular Face, Olive Skin, Blonde Hair, Hazel Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Low Updo, soft breasts, Faux gauge earrings, black velvet lipstick
Wrap dresses, Luminary, Tall, Skinny, Round Face, Fair Skin, Red Hair, coral Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Layered Bob, augmented breasts, Faux gauge earrings, black velvet lipstick
Caftans, Diva, Short, Thin, Square Face, Fair Skin, Auburn Hair, Amber Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Long Wavy Hair, large breasts, , burgundy sheer lipstick
Wrap dresses, Female Viking, Average Height, Lean, Oval Face, Fair Skin, Honey Blonde Hair, grey-blue Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Low Messy Bun, asymmetrical breasts, Stud earrings, brown matte lipstick
Sundresses, Lady, Short, Wide Hips, Round Face, Tan Skin, Golden Blonde Hair, blue Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, High Ponytail, asymmetrical breasts, Dangle earrings, green cream lipstick
Caftans, Female Viking, Average Height, Firm, Oval Face, Fair Skin, Strawberry Blonde Hair, turquoise Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Shaggy Cut, large breasts, Stud earrings, plum stain lipstick
Sleeveless dresses, Female Viking, Average Height, Narrow Hips, Diamond-Shaped Face, Olive Skin, Silver Hair, Gray Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Short Afro, small breasts, Stud earrings, red satin lipstick
Rompers, Artist, Average Height, Narrow Hips, Round Face, Fair Skin, Red Hair, red Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Swept Bangs, asymmetrical breasts, Dangle earrings, brown stain lipstick
Halter dresses, Mistress, Short, Skinny, Round Face, Fair Skin, Blonde Hair, Blue Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Sleek Waves, firm breasts, Huggie earrings, lavender sheer lipstick
Jumpsuits, Sensation, Average Height, Skinny, Square Face, Dark Skin, Black Hair, Sapphire Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Curly Hair, Formal Braided Updo, augmented breasts, Dangle earrings, berry gloss lipstick
Jumpsuits, Madam, Short, Thin, Oval Face, Fair Skin, Honey Blonde Hair, coral Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Side-Swept Bangs, perky breasts, Threader earrings, burgundy cream lipstick
Strapless dresses, Luminary, Short, in shape, Triangular Face, Tan Skin, Gray Hair, purple Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Bangs with Highlights, soft breasts, Threader earrings, red metallic lipstick
Spaghetti strap dresses, Diva, Short, Slim, Round Face, Dark Skin, Gray Hair, blue Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Twisted Bun, small breasts, Clip-on earrings, golden metallic lipstick
Maxi dresses, Duchess, Average Height, Fit, Round Face, Fair Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Side-Swept Bangs, round breasts, Clip-on earrings, rust matte lipstick
Sundresses, Superwoman, Short, Narrow Hips, Oval Face, Olive Skin, Red Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Messy Bun, natural breasts, Drop earrings, red velvet lipstick
Spaghetti strap dresses, Gal, Average Height, Narrow Hips, Triangular Face, Tan Skin, Brunette Hair, grey-blue Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Shoulder-Length Curls, augmented breasts, Faux gauge earrings, magenta metallic lipstick
Strapless dresses, Gal, Tall, Skinny, Heart-Shaped Face, Tan Skin, Red Hair, brown Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Loose Waves, firm breasts, Hoop earrings, rust gloss lipstick
Halter dresses, Heiress, Tall, Fit, Triangular Face, Olive Skin, Red Hair, dark brown Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Fauxhawk, asymmetrical breasts, Cuff earrings, violet cream lipstick
Off-the-shoulder dresses, Heiress, Short, Toned, Heart-Shaped Face, Dark Skin, Black Hair, silver Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Swept Bangs, full breasts, Clip-on earrings, mauve satin lipstick
Rompers, Luminary, Short, Wide Hips, Oval Face, Tan Skin, Golden Blonde Hair, amber Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Rope Braid, firm breasts, Faux gauge earrings, magenta gloss lipstick
Sundresses, Siren, Average Height, Toned, Oval Face, Dark Skin, Red Hair, pink Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, natural breasts, Hoop earrings, light pink matte lipstick
Wrap dresses, Mistress, Short, Thin, Square Face, Tan Skin, Black Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Straight Hair, French Roll, round breasts, Dangle earrings, mauve velvet lipstick
Rompers, Enigma, Average Height, Skinny, Round Face, Fair Skin, Honey Blonde Hair, brown Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, French Roll, perky breasts, Drop earrings, black velvet lipstick
Spaghetti strap dresses, Vixen, Short, Wide Hips, Diamond-Shaped Face, Fair Skin, Brunette Hair, hazel Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, augmented breasts, Faux gauge earrings, cream stain lipstick
Strapless dresses, Siren, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, aquamarine Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Long Curled Updo, soft breasts, Cuff earrings, red matte lipstick
Halter dresses, Queen, Short, Skinny, Diamond-Shaped Face, Tan Skin, Silver Hair, Sapphire Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Four-Strand Braid, saggy breasts, Dangle earrings, violet satin lipstick
Sundresses, Diva, Tall, Thin, Diamond-Shaped Face, Fair Skin, White Hair, yellow Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Low Messy Bun, large breasts, Hoop earrings, terracotta stain lipstick
Strapless dresses, Woman, Average Height, Narrow Hips, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Formal Braided Updo, full breasts, Huggie earrings, grape cream lipstick
Sundresses, Duchess, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Black Hair, aquamarine Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Long Wavy Hair, saggy breasts, Faux gauge earrings, burgundy stain lipstick
Rompers, Countess, Short, Firm, Square Face, Olive Skin, Honey Blonde Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Top Knot, soft breasts, , burgundy cream lipstick
Wrap dresses, Maven, Short, Skinny, Round Face, Dark Skin, Silver Hair, amethyst Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Lace Braid, small breasts, , lavender velvet lipstick
Sundresses, Queen, Short, Athletic, Triangular Face, Dark Skin, Red Hair, amethyst Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, French Roll, soft breasts, Threader earrings, teal satin lipstick
Rompers, Goddess, Short, Wide Hips, Triangular Face, Tan Skin, Silver Hair, Hazel Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Ballerina Bun, perky breasts, Drop earrings, plum gloss lipstick
Sundresses, Empress, Tall, Wide Hips, Heart-Shaped Face, Olive Skin, White Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Straight Hair, High Chignon, saggy breasts, Clip-on earrings, soft pink sheer lipstick
Short dresses, Visionary, Short, Slim, Heart-Shaped Face, Fair Skin, Auburn Hair, brown Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Curly Hair, High Bun, small breasts, Stud earrings, burgundy velvet lipstick
Sundresses, Queen, Average Height, in shape, Oval Face, Fair Skin, Silver Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Wedding Updo, asymmetrical breasts, Faux gauge earrings, black stain lipstick
Caftans, Madam, Short, Skinny, Heart-Shaped Face, Tan Skin, Golden Blonde Hair, peach Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Voluminous Waves, small breasts, Huggie earrings, gloss gloss lipstick
Sundresses, Maven, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Auburn Hair, pink Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Waterfall Braid, augmented breasts, Drop earrings, coral satin lipstick
Short dresses, Temptress, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, High Bun, asymmetrical breasts, Huggie earrings, rose cream lipstick
Sleeveless dresses, Madam, Short, Skinny, Heart-Shaped Face, Tan Skin, Red Hair, grey Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Low Ponytail, asymmetrical breasts, , golden metallic lipstick
Rompers, Goddess, Short, Athletic, Triangular Face, Dark Skin, Chestnut Hair, Hazel Eyes with Green Flecks, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Rope Braid, augmented breasts, Clip-on earrings, rust stain lipstick
Short dresses, Sensation, Average Height, Lean, Square Face, Olive Skin, Auburn Hair, purple Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Dutch Braid, large breasts, Stud earrings, cherry satin lipstick
Wrap dresses, Artist, Tall, Fit, Heart-Shaped Face, Olive Skin, Black Hair, green Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Long Curly Hair, large breasts, Cuff earrings, plum stain lipstick
Halter dresses, Superwoman, Tall, Lean, Oval Face, Tan Skin, Strawberry Blonde Hair, Green Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Tousled Waves, large breasts, Hoop earrings, cherry cream lipstick
Off-the-shoulder dresses, Starlet, Short, Toned, Round Face, Fair Skin, Auburn Hair, yellow Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Middle Part Bangs, asymmetrical breasts, Hoop earrings, green sheer lipstick
Halter dresses, Vixen, Short, Slim, Oval Face, Tan Skin, White Hair, amber Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Shoulder-Length Curls, soft breasts, Cuff earrings, terracotta sheer lipstick
Sleeveless dresses, Belle, Short, Wide Hips, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, grey-blue Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Middle Part Bangs, full breasts, Faux gauge earrings, orange cream lipstick
Short dresses, Vixen, Average Height, Thin, Oval Face, Tan Skin, Silver Hair, ice blue Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Donut Bun, soft breasts, Stud earrings, burgundy satin lipstick
Rompers, Sensation, Short, in shape, Oval Face, Dark Skin, Auburn Hair, amber Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, augmented breasts, Threader earrings, coral satin lipstick
Sundresses, Heiress, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Light Brown Hair, gold Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Thick Hair, French Roll, large breasts, Dangle earrings, hot pink cream lipstick
Sleeveless dresses, Chanteuse, Short, Fit, Triangular Face, Tan Skin, Brunette Hair, Gray Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Blunt Bangs, large breasts, Dangle earrings, lavender stain lipstick
Strapless dresses, Siren, Short, Thin, Oval Face, Tan Skin, Chestnut Hair, Amber Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, perky breasts, Clip-on earrings, beige sheer lipstick
Sleeveless dresses, Luminary, Short, Lean, Round Face, Tan Skin, Brunette Hair, Hazel Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Donut Bun, perky breasts, Clip-on earrings, pink velvet lipstick
Sleeveless dresses, Goddess, Average Height, Toned, Heart-Shaped Face, Dark Skin, Chestnut Hair, grey Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Half Up Half Down, natural breasts, Huggie earrings, berry gloss lipstick
Halter dresses, Goddess, Short, Athletic, Square Face, Tan Skin, Black Hair, Sapphire Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, High Ponytail, large breasts, , plum matte lipstick
Halter dresses, Siren, Short, Slim, Oval Face, Dark Skin, Platinum Blonde Hair, jade Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Frohawk, natural breasts, Clip-on earrings, soft pink velvet lipstick
Jumpsuits, Starlet, Tall, Toned, Square Face, Olive Skin, Auburn Hair, silver Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, High Messy Bun, perky breasts, Clip-on earrings, teal velvet lipstick
Strapless dresses, Temptress, Short, in shape, Triangular Face, Dark Skin, Light Brown Hair, grey Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, soft breasts, Faux gauge earrings, berry matte lipstick
Jumpsuits, Starlet, Tall, Skinny, Diamond-Shaped Face, Tan Skin, Black Hair, red Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Chignon, saggy breasts, Stud earrings, terracotta velvet lipstick
Halter dresses, Temptress, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, Dark Brown Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Blunt Bangs, asymmetrical breasts, Drop earrings, cream gloss lipstick
Strapless dresses, Dame, Average Height, Fit, Square Face, Olive Skin, Blonde Hair, brown Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Crown Braid, asymmetrical breasts, Drop earrings, peach gloss lipstick
Sundresses, Dame, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Auburn Hair, black Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Smooth Waves, firm breasts, Threader earrings, golden sheer lipstick
Caftans, Woman, Tall, Narrow Hips, Round Face, Fair Skin, Black Hair, gold Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, French Roll, asymmetrical breasts, , berry sheer lipstick
Rompers, Phenom, Tall, Lean, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Swept Bangs, augmented breasts, Hoop earrings, grape stain lipstick
Jumpsuits, Superwoman, Tall, Lean, Square Face, Dark Skin, Auburn Hair, Hazel Eyes with Green Flecks, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Swept Bangs, saggy breasts, Clip-on earrings, magenta cream lipstick
Sundresses, Goddess, Tall, Lean, Triangular Face, Tan Skin, Light Brown Hair, purple Eyes, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, French Roll, saggy breasts, Stud earrings, gloss metallic lipstick
Halter dresses, Charmer, Short, Thin, Square Face, Dark Skin, Dark Brown Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Sleek Bun, small breasts, Dangle earrings, rust matte lipstick
Sundresses, Gal, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, Blonde Hair, hazel Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Middle Part Bangs, full breasts, Drop earrings, magenta stain lipstick
Rompers, Woman, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Dark Brown Hair, aquamarine Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Wavy Hair, Frohawk, large breasts, Faux gauge earrings, violet sheer lipstick
Jumpsuits, Lady, Tall, Fit, Oval Face, Olive Skin, Chestnut Hair, light blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Shaggy Cut, soft breasts, , light pink matte lipstick
Jumpsuits, Femme fatale, Average Height, Narrow Hips, Square Face, Tan Skin, Red Hair, Blue Eyes with Green Flecks, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid, augmented breasts, Stud earrings, black cream lipstick
Maxi dresses, Babe, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Chestnut Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, Middle Part Bangs, large breasts, Huggie earrings, grape velvet lipstick
Halter dresses, Babe, Short, Athletic, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Curly Hair, Straight Updo, asymmetrical breasts, Stud earrings, golden sheer lipstick
Rompers, Empress, Short, Toned, Oval Face, Dark Skin, Auburn Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Fishbone Braid, soft breasts, Hoop earrings, red satin lipstick
Wrap dresses, Miss, Tall, Firm, Round Face, Dark Skin, Auburn Hair, yellow Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Stacked Bob, saggy breasts, Threader earrings, rust velvet lipstick
Sleeveless dresses, Miss, Average Height, Thin, Square Face, Tan Skin, Dark Brown Hair, grey-blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Long Curly Hair, firm breasts, Hoop earrings, black metallic lipstick
Sleeveless dresses, Female Warrior, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, gold Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Side Bangs, round breasts, Faux gauge earrings, rose metallic lipstick
Maxi dresses, Phenom, Tall, Narrow Hips, Square Face, Olive Skin, Blonde Hair, amethyst Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, High Messy Bun, round breasts, Threader earrings, rust sheer lipstick
Short dresses, Duchess, Tall, Toned, Oval Face, Fair Skin, Honey Blonde Hair, Brown Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Fishbone Braid, soft breasts, Clip-on earrings, gloss matte lipstick
Wrap dresses, Baroness, Tall, Skinny, Oval Face, Tan Skin, Light Brown Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Stacked Bob, large breasts, Stud earrings, plum cream lipstick
Caftans, Sensation, Short, in shape, Triangular Face, Dark Skin, Silver Hair, black Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, round breasts, Dangle earrings, black velvet lipstick
Rompers, Sensation, Short, Skinny, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, Green Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Twisted Bun, saggy breasts, Clip-on earrings, violet sheer lipstick
Off-the-shoulder dresses, Trailblazer, Average Height, Toned, Round Face, Olive Skin, Light Brown Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Wedding Updo, perky breasts, Drop earrings, brown stain lipstick
Sleeveless dresses, Enchantress, Tall, Slim, Square Face, Olive Skin, Strawberry Blonde Hair, aquamarine Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Double Braided Crown, saggy breasts, Threader earrings, light pink cream lipstick
Strapless dresses, Phenom, Tall, Wide Hips, Oval Face, Fair Skin, Chestnut Hair, red Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Blunt Cut Bangs, full breasts, Faux gauge earrings, magenta matte lipstick
Off-the-shoulder dresses, Songstress, Tall, Skinny, Oval Face, Olive Skin, Light Brown Hair, yellow Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Fishbone Braid, perky breasts, Dangle earrings, burgundy stain lipstick
