autumn, A long cardigan with a tank top, leggings, and boots, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick
summer, A maxi dress with sandals, Mistress, Short, in shape, Triangular Face, Tan Skin, Golden Blonde Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Side Bangs, firm breasts, Cuff earrings, silver metallic lipstick
summer, A sundress with flat sandals and a sun hat, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Olive Skin, Silver Hair, Green Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Messy Beach Waves, large breasts, Dangle earrings, red sheer lipstick
autumn, A sweater with skinny jeans and ankle boots, Woman, Tall, Skinny, Triangular Face, Tan Skin, Light Brown Hair, grey-blue Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Wavy Hair, Double Braided Crown, round breasts, Drop earrings, pink sheer lipstick
autumn, A turtleneck with a midi skirt and ankle boots, Madame, Average Height, Athletic, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, red Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Formal Updo, augmented breasts, Dangle earrings, peach sheer lipstick
winter, A plaid blazer with a white tee and jeans, Songstress, Tall, Wide Hips, Triangular Face, Dark Skin, Auburn Hair, black Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Lace Braid, soft breasts, Hoop earrings, lavender gloss lipstick
summer, A tank top with shorts and sneakers, Visionary, Short, Fit, Square Face, Tan Skin, Blonde Hair, grey-blue Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Low Ponytail, asymmetrical breasts, Huggie earrings, light pink cream lipstick
spring, A floral sundress with sandals and a denim jacket, Belle, Tall, Athletic, Triangular Face, Tan Skin, Dark Brown Hair, Hazel Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Formal Braided Updo, full breasts, Drop earrings, brown cream lipstick
winter, A wrap dress with booties and a belt, Empress, Short, Toned, Square Face, Dark Skin, Chestnut Hair, yellow Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Thick Hair, Fauxhawk, natural breasts, Dangle earrings, green cream lipstick
winter, A printed romper with heeled boots and a wide-brim hat, Charmer, Short, Athletic, Heart-Shaped Face, Tan Skin, Auburn Hair, silver Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Sleek Waves, soft breasts, Huggie earrings, grape stain lipstick
winter, Sweater with a scarf, beanie and gloves, Madame, Short, Firm, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, aquamarine Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Boho Braid, perky breasts, Cuff earrings, brown cream lipstick
winter, A lightweight sweater with black jeans and combat boots, Female Warrior, Average Height, Wide Hips, Square Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Voluminous Waves, saggy breasts, Clip-on earrings, peach metallic lipstick
autumn, A printed romper with heeled boots and a fedora, Mistress, Short, Narrow Hips, Oval Face, Tan Skin, Red Hair, Sapphire Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Formal Braided Updo, soft breasts, , rose stain lipstick
autumn, A long-sleeve sundress with ankle boots and a denim jacket, Gal, Average Height, Narrow Hips, Square Face, Fair Skin, Golden Blonde Hair, pink Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Fishtail Crown Braid, perky breasts, Threader earrings, violet velvet lipstick
spring, A button-down shirt with white pants and sandals, Artist, Tall, Athletic, Oval Face, Olive Skin, Light Brown Hair, amber Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Frohawk, saggy breasts, Threader earrings, violet sheer lipstick
autumn, A puffer jacket with a turtleneck, jeans, and boots, Songstress, Tall, Firm, Round Face, Dark Skin, Blonde Hair, light blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Fishbone Braid, large breasts, , fuchsia cream lipstick
summer, A printed romper with heeled mules and a crossbody bag, Miss, Tall, Wide Hips, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, High Chignon, asymmetrical breasts, Dangle earrings, mauve sheer lipstick
spring, A printed romper with platform sandals and a straw hat, Goddess, Tall, Athletic, Square Face, Olive Skin, Blonde Hair, gold Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Shaggy Cut, asymmetrical breasts, Cuff earrings, coral matte lipstick
summer, A floral midi dress with sandals and a straw hat, Visionary, Average Height, Narrow Hips, Triangular Face, Olive Skin, Silver Hair, Brown Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Beach Waves, large breasts, Faux gauge earrings, cherry metallic lipstick
spring, A midi skirt with a tucked in blouse and ankle boots, Baroness, Average Height, Narrow Hips, Triangular Face, Olive Skin, Silver Hair, Brown Eyes with Green Flecks, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Angled Bob, natural breasts, Drop earrings, rose gloss lipstick
autumn, A jumpsuit with a belt and block heels, Woman, Tall, Narrow Hips, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, green Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Messy Bun, natural breasts, Dangle earrings, orange velvet lipstick
spring, A sundress with sandals and a denim jacket, Miss, Short, Lean, Square Face, Tan Skin, Silver Hair, amethyst Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Fine Hair, French Roll, saggy breasts, Dangle earrings, light pink gloss lipstick
autumn, A striped jumpsuit with an oversized sweater, Madame, Average Height, Firm, Triangular Face, Tan Skin, White Hair, Brown Eyes with Green Flecks, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Short Afro, large breasts, Drop earrings, violet velvet lipstick
spring, A flowy sundress with a denim jacket and sneakers, Enchantress, Average Height, Firm, Round Face, Fair Skin, Dark Brown Hair, aquamarine Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Curly Afro, round breasts, Huggie earrings, terracotta gloss lipstick
spring, A pleated midi skirt with a graphic tee and sandals, Heiress, Tall, Firm, Triangular Face, Olive Skin, Light Brown Hair, peach Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Tapered Afro, firm breasts, Cuff earrings, cherry matte lipstick
summer, A floral sundress with sandals and a straw hat, Babe, Average Height, Athletic, Triangular Face, Dark Skin, Gray Hair, blue Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Wavy Bob, soft breasts, Cuff earrings, berry velvet lipstick
winter, Puffy jacket with skinny jeans and snow boots, Madam, Tall, Toned, Oval Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Coarse Hair, Braided Crown, round breasts, Clip-on earrings, lavender sheer lipstick
autumn, A long cardigan with a tank top, leggings, and boots, Maven, Average Height, Skinny, Diamond-Shaped Face, Tan Skin, Light Brown Hair, gold Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Formal Braided Updo, natural breasts, Stud earrings, red velvet lipstick
summer, A wrap dress with flat sandals and a sun hat, Heiress, Average Height, Firm, Oval Face, Olive Skin, Chestnut Hair, green Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Long Wavy Hair, large breasts, Cuff earrings, orange satin lipstick
summer, A pleated skirt with a tank and sandals, Dame, Short, in shape, Round Face, Fair Skin, Auburn Hair, pink Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Fluffy Afro, natural breasts, Dangle earrings, coral matte lipstick
winter, Turtleneck sweater with a puffer jacket and snow pants, Temptress, Tall, Narrow Hips, Oval Face, Dark Skin, Dark Brown Hair, Brown Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, High Bun, full breasts, Hoop earrings, teal satin lipstick
winter, A chunky-knit sweater with jeans and combat boots, Femme fatale, Tall, Wide Hips, Triangular Face, Tan Skin, Golden Blonde Hair, pink Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Dutch Braid, large breasts, Stud earrings, beige matte lipstick
summer, A floral sundress with sandals and a straw hat, Songstress, Tall, Toned, Round Face, Dark Skin, Dark Brown Hair, pink Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Side-Swept Bangs, saggy breasts, Cuff earrings, peach metallic lipstick
autumn, A bomber jacket with a sweater dress and ankle boots, Duchess, Short, Athletic, Round Face, Olive Skin, Honey Blonde Hair, Brown Eyes with Green Flecks, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Half Up Half Down, saggy breasts, Clip-on earrings, berry sheer lipstick
winter, A collared shirt with a pleated skirt and ankle boots, Chanteuse, Short, Fit, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, Amber Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Fringed Bangs, natural breasts, Threader earrings, terracotta stain lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Superwoman, Short, Wide Hips, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Blunt Bangs, small breasts, Hoop earrings, shimmer metallic lipstick
autumn, A puffer jacket with a turtleneck, jeans, and boots, Countess, Average Height, Slim, Square Face, Tan Skin, White Hair, ruby Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sleek Straight Hair, soft breasts, Clip-on earrings, terracotta metallic lipstick
autumn, A printed romper with heeled boots and a fedora, Lady, Short, in shape, Triangular Face, Tan Skin, Platinum Blonde Hair, brown Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Side-Swept Bangs, soft breasts, Clip-on earrings, cherry sheer lipstick
summer, A floral sundress with sandals and a straw hat, Phenom, Short, Narrow Hips, Round Face, Dark Skin, White Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Fine Hair, Fishtail Braid, firm breasts, Huggie earrings, soft pink metallic lipstick
winter, Bomber jacket with a sweater and leggings, Enchantress, Average Height, in shape, Round Face, Dark Skin, Platinum Blonde Hair, coral Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, full breasts, Clip-on earrings, red satin lipstick
summer, A wrap dress with flat sandals and a sun hat, Enigma, Short, in shape, Heart-Shaped Face, Fair Skin, White Hair, dark brown Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Blunt Cut Bangs, large breasts, Hoop earrings, peach sheer lipstick
spring, A striped jumpsuit with a jean jacket, Baroness, Average Height, Thin, Triangular Face, Olive Skin, Blonde Hair, Hazel Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Low Updo, soft breasts, Faux gauge earrings, black velvet lipstick
winter, A velvet midi skirt with a tucked in sweater and ankle boots, Luminary, Tall, Skinny, Round Face, Fair Skin, Red Hair, coral Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Layered Bob, augmented breasts, Faux gauge earrings, black velvet lipstick
summer, A tank top with shorts and sneakers, Diva, Short, Thin, Square Face, Fair Skin, Auburn Hair, Amber Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Long Wavy Hair, large breasts, , burgundy sheer lipstick
spring, An oversized blazer with black jeans and heels, Female Viking, Average Height, Lean, Oval Face, Fair Skin, Honey Blonde Hair, grey-blue Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Low Messy Bun, asymmetrical breasts, Stud earrings, brown matte lipstick
autumn, A wrap dress with mules and a statement necklace, Lady, Short, Wide Hips, Round Face, Tan Skin, Golden Blonde Hair, blue Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, High Ponytail, asymmetrical breasts, Dangle earrings, green cream lipstick
summer, A button-down dress with a bandana and sneakers, Female Viking, Average Height, Firm, Oval Face, Fair Skin, Strawberry Blonde Hair, turquoise Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Shaggy Cut, large breasts, Stud earrings, plum stain lipstick
summer, A linen blazer with a tank top and white jeans, Female Viking, Average Height, Narrow Hips, Diamond-Shaped Face, Olive Skin, Silver Hair, Gray Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Short Afro, small breasts, Stud earrings, red satin lipstick
spring, A pastel blazer with a white tee and white jeans, Artist, Average Height, Narrow Hips, Round Face, Fair Skin, Red Hair, red Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Swept Bangs, asymmetrical breasts, Dangle earrings, brown stain lipstick
autumn, A hoodie with sweatpants and sneakers, Mistress, Short, Skinny, Round Face, Fair Skin, Blonde Hair, Blue Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Sleek Waves, firm breasts, Huggie earrings, lavender sheer lipstick
spring, A jumpsuit with a belt and block heels, Sensation, Average Height, Skinny, Square Face, Dark Skin, Black Hair, Sapphire Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Curly Hair, Formal Braided Updo, augmented breasts, Dangle earrings, berry gloss lipstick
autumn, A long cardigan with a tank top, leggings, and boots, Madam, Short, Thin, Oval Face, Fair Skin, Honey Blonde Hair, coral Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Side-Swept Bangs, perky breasts, Threader earrings, burgundy cream lipstick
summer, A floral sundress with sandals and a straw hat, Luminary, Short, in shape, Triangular Face, Tan Skin, Gray Hair, purple Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Bangs with Highlights, soft breasts, Threader earrings, red metallic lipstick
summer, A spaghetti strap top with high-waisted jeans and heels, Diva, Short, Slim, Round Face, Dark Skin, Gray Hair, blue Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Twisted Bun, small breasts, Clip-on earrings, golden metallic lipstick
summer, A printed romper with heeled mules and a crossbody bag, Duchess, Average Height, Fit, Round Face, Fair Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Side-Swept Bangs, round breasts, Clip-on earrings, rust matte lipstick
summer, A sundress with a denim jacket and sneakers, Superwoman, Short, Narrow Hips, Oval Face, Olive Skin, Red Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Messy Bun, natural breasts, Drop earrings, red velvet lipstick
winter, A floral maxi dress with heeled boots, Gal, Average Height, Narrow Hips, Triangular Face, Tan Skin, Brunette Hair, grey-blue Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Shoulder-Length Curls, augmented breasts, Faux gauge earrings, magenta metallic lipstick
spring, A sheer blouse with wide-leg pants and heels, Gal, Tall, Skinny, Heart-Shaped Face, Tan Skin, Red Hair, brown Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Loose Waves, firm breasts, Hoop earrings, rust gloss lipstick
winter, Parka with a sweater and thermal wear, Heiress, Tall, Fit, Triangular Face, Olive Skin, Red Hair, dark brown Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Fauxhawk, asymmetrical breasts, Cuff earrings, violet cream lipstick
winter, Parka with a sweater and thermal wear, Heiress, Short, Toned, Heart-Shaped Face, Dark Skin, Black Hair, silver Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Swept Bangs, full breasts, Clip-on earrings, mauve satin lipstick
spring, A lightweight sweater with white cropped pants and sneakers, Luminary, Short, Wide Hips, Oval Face, Tan Skin, Golden Blonde Hair, amber Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Rope Braid, firm breasts, Faux gauge earrings, magenta gloss lipstick
spring, A pastel sweater with a pleated skirt and espadrilles, Siren, Average Height, Toned, Oval Face, Dark Skin, Red Hair, pink Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, natural breasts, Hoop earrings, light pink matte lipstick
spring, A midi wrap skirt with a tucked in tank and sneakers, Mistress, Short, Thin, Square Face, Tan Skin, Black Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Straight Hair, French Roll, round breasts, Dangle earrings, mauve velvet lipstick
summer, A midi skirt with a tucked in tank and slides, Enigma, Average Height, Skinny, Round Face, Fair Skin, Honey Blonde Hair, brown Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, French Roll, perky breasts, Drop earrings, black velvet lipstick
winter, A jumpsuit with a belt and pumps, Vixen, Short, Wide Hips, Diamond-Shaped Face, Fair Skin, Brunette Hair, hazel Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, augmented breasts, Faux gauge earrings, cream stain lipstick
autumn, A plaid shirt with leggings and tall boots, Siren, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, aquamarine Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Long Curled Updo, soft breasts, Cuff earrings, red matte lipstick
autumn, A chunky knit sweater with corduroy pants and sneakers, Queen, Short, Skinny, Diamond-Shaped Face, Tan Skin, Silver Hair, Sapphire Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Four-Strand Braid, saggy breasts, Dangle earrings, violet satin lipstick
winter, A long-sleeve sundress with tights and a faux fur coat, Diva, Tall, Thin, Diamond-Shaped Face, Fair Skin, White Hair, yellow Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Low Messy Bun, large breasts, Hoop earrings, terracotta stain lipstick
spring, A pleated midi skirt with a graphic tee and sandals, Woman, Average Height, Narrow Hips, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Formal Braided Updo, full breasts, Huggie earrings, grape cream lipstick
winter, An oversized faux fur coat with black jeans and heels, Duchess, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Black Hair, aquamarine Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Long Wavy Hair, saggy breasts, Faux gauge earrings, burgundy stain lipstick
spring, A flowy sundress with a denim jacket and sneakers, Countess, Short, Firm, Square Face, Olive Skin, Honey Blonde Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Top Knot, soft breasts, , burgundy cream lipstick
summer, A wrap dress with flat sandals and a sun hat, Maven, Short, Skinny, Round Face, Dark Skin, Silver Hair, amethyst Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Lace Braid, small breasts, , lavender velvet lipstick
spring, A jumpsuit with a belt and block heels, Queen, Short, Athletic, Triangular Face, Dark Skin, Red Hair, amethyst Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, French Roll, soft breasts, Threader earrings, teal satin lipstick
summer, A midi skirt with a tucked in blouse and sandals, Goddess, Short, Wide Hips, Triangular Face, Tan Skin, Silver Hair, Hazel Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Ballerina Bun, perky breasts, Drop earrings, plum gloss lipstick
autumn, A pleated midi skirt with a blouse and loafers, Empress, Tall, Wide Hips, Heart-Shaped Face, Olive Skin, White Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Straight Hair, High Chignon, saggy breasts, Clip-on earrings, soft pink sheer lipstick
summer, A sundress with a denim jacket and sneakers, Visionary, Short, Slim, Heart-Shaped Face, Fair Skin, Auburn Hair, brown Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Curly Hair, High Bun, small breasts, Stud earrings, burgundy velvet lipstick
spring, A button-down shirt with white pants and sandals, Queen, Average Height, in shape, Oval Face, Fair Skin, Silver Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Wedding Updo, asymmetrical breasts, Faux gauge earrings, black stain lipstick
winter, A striped jumpsuit with a wool coat, Madam, Short, Skinny, Heart-Shaped Face, Tan Skin, Golden Blonde Hair, peach Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Voluminous Waves, small breasts, Huggie earrings, gloss gloss lipstick
autumn, A chunky knit sweater with corduroy pants and sneakers, Maven, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Auburn Hair, pink Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Waterfall Braid, augmented breasts, Drop earrings, coral satin lipstick
summer, A tank top with shorts and sneakers, Temptress, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, High Bun, asymmetrical breasts, Huggie earrings, rose cream lipstick
summer, A tank top with a maxi skirt and sandals, Madam, Short, Skinny, Heart-Shaped Face, Tan Skin, Red Hair, grey Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Low Ponytail, asymmetrical breasts, , golden metallic lipstick
winter, A striped jumpsuit with a wool coat, Goddess, Short, Athletic, Triangular Face, Dark Skin, Chestnut Hair, Hazel Eyes with Green Flecks, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Rope Braid, augmented breasts, Clip-on earrings, rust stain lipstick
spring, A wrap dress with espadrille wedges, Sensation, Average Height, Lean, Square Face, Olive Skin, Auburn Hair, purple Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Dutch Braid, large breasts, Stud earrings, cherry satin lipstick
winter, Sweater with a scarf, beanie and gloves, Artist, Tall, Fit, Heart-Shaped Face, Olive Skin, Black Hair, green Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Long Curly Hair, large breasts, Cuff earrings, plum stain lipstick
winter, A printed romper with heeled boots and a wide-brim hat, Superwoman, Tall, Lean, Oval Face, Tan Skin, Strawberry Blonde Hair, Green Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Tousled Waves, large breasts, Hoop earrings, cherry cream lipstick
summer, A midi skirt with a tucked in blouse and sandals, Starlet, Short, Toned, Round Face, Fair Skin, Auburn Hair, yellow Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Middle Part Bangs, asymmetrical breasts, Hoop earrings, green sheer lipstick
winter, A striped jumpsuit with a wool coat, Vixen, Short, Slim, Oval Face, Tan Skin, White Hair, amber Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Shoulder-Length Curls, soft breasts, Cuff earrings, terracotta sheer lipstick
spring, A floral sundress with sandals and a denim jacket, Belle, Short, Wide Hips, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, grey-blue Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Middle Part Bangs, full breasts, Faux gauge earrings, orange cream lipstick
autumn, A floral maxi dress with heeled boots, Vixen, Average Height, Thin, Oval Face, Tan Skin, Silver Hair, ice blue Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Donut Bun, soft breasts, Stud earrings, burgundy satin lipstick
winter, Sweater with a puffy vest and skinny jeans, Sensation, Short, in shape, Oval Face, Dark Skin, Auburn Hair, amber Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, augmented breasts, Threader earrings, coral satin lipstick
autumn, A wrap dress with heeled booties, Heiress, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Light Brown Hair, gold Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Thick Hair, French Roll, large breasts, Dangle earrings, hot pink cream lipstick
summer, A tank top with shorts and sneakers, Chanteuse, Short, Fit, Triangular Face, Tan Skin, Brunette Hair, Gray Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Blunt Bangs, large breasts, Dangle earrings, lavender stain lipstick
spring, A sheer blouse with wide-leg pants and heels, Siren, Short, Thin, Oval Face, Tan Skin, Chestnut Hair, Amber Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, perky breasts, Clip-on earrings, beige sheer lipstick
winter, A pleated midi skirt with a blouse and ankle boots, Luminary, Short, Lean, Round Face, Tan Skin, Brunette Hair, Hazel Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Donut Bun, perky breasts, Clip-on earrings, pink velvet lipstick
winter, Sweater with a scarf, beanie and gloves, Goddess, Average Height, Toned, Heart-Shaped Face, Dark Skin, Chestnut Hair, grey Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Half Up Half Down, natural breasts, Huggie earrings, berry gloss lipstick
spring, A sundress with sandals and a denim jacket, Goddess, Short, Athletic, Square Face, Tan Skin, Black Hair, Sapphire Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, High Ponytail, large breasts, , plum matte lipstick
winter, A pleated midi skirt with a blouse and ankle boots, Siren, Short, Slim, Oval Face, Dark Skin, Platinum Blonde Hair, jade Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Frohawk, natural breasts, Clip-on earrings, soft pink velvet lipstick
winter, Parka with a sweater and thermal wear, Starlet, Tall, Toned, Square Face, Olive Skin, Auburn Hair, silver Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, High Messy Bun, perky breasts, Clip-on earrings, teal velvet lipstick
autumn, A wrap dress with heeled booties, Temptress, Short, in shape, Triangular Face, Dark Skin, Light Brown Hair, grey Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, soft breasts, Faux gauge earrings, berry matte lipstick
autumn, A striped jumpsuit with an oversized sweater, Starlet, Tall, Skinny, Diamond-Shaped Face, Tan Skin, Black Hair, red Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Chignon, saggy breasts, Stud earrings, terracotta velvet lipstick
autumn, A collared shirt with a pleated skirt and booties, Temptress, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, Dark Brown Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Blunt Bangs, asymmetrical breasts, Drop earrings, cream gloss lipstick
