Gold, bib necklace, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Rhenium, pearl necklace, Vixen, Average Height, Thin, Oval Face, Tan Skin, Silver Hair, ice blue Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Donut Bun, soft breasts, Stud earrings, burgundy satin lipstick, Ivory Lace Teddy
Silver, charm bracelet, Sensation, Short, in shape, Oval Face, Dark Skin, Auburn Hair, amber Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, augmented breasts, Threader earrings, coral satin lipstick, Gold Strappy Bodysuit
Tantalum, tassel necklace, Heiress, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Light Brown Hair, gold Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Thick Hair, French Roll, large breasts, Dangle earrings, hot pink cream lipstick, Black Leather Bralette and Panty Set
Indium, ankle bracelet, Chanteuse, Short, Fit, Triangular Face, Tan Skin, Brunette Hair, Gray Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Blunt Bangs, large breasts, Dangle earrings, lavender stain lipstick, Blue Strappy Bodysuit with Cutouts
Palladium, cuff bracelet, Siren, Short, Thin, Oval Face, Tan Skin, Chestnut Hair, Amber Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, perky breasts, Clip-on earrings, beige sheer lipstick, Purple Velvet Slip with Lace Trim
Platinum, anklet, Luminary, Short, Lean, Round Face, Tan Skin, Brunette Hair, Hazel Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Donut Bun, perky breasts, Clip-on earrings, pink velvet lipstick, Purple Mesh Babydoll with Matching G-String
Ruthenium, flower brooch, Goddess, Average Height, Toned, Heart-Shaped Face, Dark Skin, Chestnut Hair, grey Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Half Up Half Down, natural breasts, Huggie earrings, berry gloss lipstick, Purple Velvet Robe with Fur Trim 
Platinum, animal brooch, Goddess, Short, Athletic, Square Face, Tan Skin, Black Hair, Sapphire Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, High Ponytail, large breasts, , plum matte lipstick, White Sheer Teddy with Lace Trim
Iridium, toe ring, Siren, Short, Slim, Oval Face, Dark Skin, Platinum Blonde Hair, jade Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Frohawk, natural breasts, Clip-on earrings, soft pink velvet lipstick, Black Leather Bralette and Panty Set
Indium, torc necklace, Starlet, Tall, Toned, Square Face, Olive Skin, Auburn Hair, silver Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, High Messy Bun, perky breasts, Clip-on earrings, teal velvet lipstick, Navy Blue Satin Garter Belt with Suspenders 
Iridium, charm bracelet, Temptress, Short, in shape, Triangular Face, Dark Skin, Light Brown Hair, grey Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, soft breasts, Faux gauge earrings, berry matte lipstick, Purple Velvet Slip with Lace Trim
Indium, brooch pin, Starlet, Tall, Skinny, Diamond-Shaped Face, Tan Skin, Black Hair, red Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Chignon, saggy breasts, Stud earrings, terracotta velvet lipstick, Olive Green Mesh Garter Belt with Stockings
Tantalum, animal brooch, Temptress, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, Dark Brown Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Blunt Bangs, asymmetrical breasts, Drop earrings, cream gloss lipstick, Fuchsia Mesh Halter Bra and Panty Set
Iridium, statement necklace, Dame, Average Height, Fit, Square Face, Olive Skin, Blonde Hair, brown Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Crown Braid, asymmetrical breasts, Drop earrings, peach gloss lipstick, Green Satin Robe with Lace Trim
Iridium, torc necklace, Dame, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Auburn Hair, black Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Smooth Waves, firm breasts, Threader earrings, golden sheer lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Platinum, ankle bracelet, Woman, Tall, Narrow Hips, Round Face, Fair Skin, Black Hair, gold Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, French Roll, asymmetrical breasts, , berry sheer lipstick, Gold Strappy Bodysuit
Ruthenium, ankle strap, Phenom, Tall, Lean, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Swept Bangs, augmented breasts, Hoop earrings, grape stain lipstick, Gold Strappy Bodysuit
Ruthenium, torc necklace, Superwoman, Tall, Lean, Square Face, Dark Skin, Auburn Hair, Hazel Eyes with Green Flecks, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Swept Bangs, saggy breasts, Clip-on earrings, magenta cream lipstick, Green Satin and Lace Garter Belt with Matching Thong
Gold, cuff bracelet, Goddess, Tall, Lean, Triangular Face, Tan Skin, Light Brown Hair, purple Eyes, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, French Roll, saggy breasts, Stud earrings, gloss metallic lipstick, Crimson Velvet Cami and Short Set 
Rhodium, necklace, Charmer, Short, Thin, Square Face, Dark Skin, Dark Brown Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Sleek Bun, small breasts, Dangle earrings, rust matte lipstick, Red Satin Babydoll
Radium, charm bracelet, Gal, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, Blonde Hair, hazel Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Middle Part Bangs, full breasts, Drop earrings, magenta stain lipstick, Pink Floral Corset
Palladium, ankle bracelet, Woman, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Dark Brown Hair, aquamarine Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Wavy Hair, Frohawk, large breasts, Faux gauge earrings, violet sheer lipstick, Brown Strappy Bodysuit
Silver, tennis necklace, Lady, Tall, Fit, Oval Face, Olive Skin, Chestnut Hair, light blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Shaggy Cut, soft breasts, , light pink matte lipstick, Green Sequin Slip Dress with Thigh-High Slits
Palladium, chain necklace, Femme fatale, Average Height, Narrow Hips, Square Face, Tan Skin, Red Hair, Blue Eyes with Green Flecks, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid, augmented breasts, Stud earrings, black cream lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Rhodium, vintage brooch, Babe, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Chestnut Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, Middle Part Bangs, large breasts, Huggie earrings, grape velvet lipstick, Mint Green Mesh Teddy 
Silver, anklet, Babe, Short, Athletic, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Curly Hair, Straight Updo, asymmetrical breasts, Stud earrings, golden sheer lipstick, Black Cutout Bodysuit with Zipper
Beryllium, tennis necklace, Empress, Short, Toned, Oval Face, Dark Skin, Auburn Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Fishbone Braid, soft breasts, Hoop earrings, red satin lipstick, Black Sheer Teddy with Floral Applique
Osmium, flower brooch, Miss, Tall, Firm, Round Face, Dark Skin, Auburn Hair, yellow Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Stacked Bob, saggy breasts, Threader earrings, rust velvet lipstick, Cream Sequin Bra and Pant Set
Radium, choker, Miss, Average Height, Thin, Square Face, Tan Skin, Dark Brown Hair, grey-blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Long Curly Hair, firm breasts, Hoop earrings, black metallic lipstick, Black Sheer Teddy with Floral Applique
Gallium, tennis necklace, Female Warrior, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, gold Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Side Bangs, round breasts, Faux gauge earrings, rose metallic lipstick, Brown Strappy Bodysuit
Rhodium, cocktail brooch, Phenom, Tall, Narrow Hips, Square Face, Olive Skin, Blonde Hair, amethyst Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, High Messy Bun, round breasts, Threader earrings, rust sheer lipstick, White Sheer Teddy with Lace Trim
Silver, collar necklace, Duchess, Tall, Toned, Oval Face, Fair Skin, Honey Blonde Hair, Brown Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Fishbone Braid, soft breasts, Clip-on earrings, gloss matte lipstick, Red Satin Kimono with Lace Sleeve Detail
Iridium, chain necklace, Baroness, Tall, Skinny, Oval Face, Tan Skin, Light Brown Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Stacked Bob, large breasts, Stud earrings, plum cream lipstick, Lavender Lace Bra and Panty Set 
Cadmium, bangle bracelet, Sensation, Short, in shape, Triangular Face, Dark Skin, Silver Hair, black Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, round breasts, Dangle earrings, black velvet lipstick, Cream Sequin Bra and Pant Set
Cadmium, bracelet, Sensation, Short, Skinny, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, Green Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Twisted Bun, saggy breasts, Clip-on earrings, violet sheer lipstick, Red Lace Bra and Panty Set with Garter Belt
Beryllium, tennis bracelet, Trailblazer, Average Height, Toned, Round Face, Olive Skin, Light Brown Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Wedding Updo, perky breasts, Drop earrings, brown stain lipstick, White Satin and Lace Bra and Panty Set
Iridium, friendship bracelet, Enchantress, Tall, Slim, Square Face, Olive Skin, Strawberry Blonde Hair, aquamarine Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Double Braided Crown, saggy breasts, Threader earrings, light pink cream lipstick, Purple Velvet Slip with Lace Trim
Palladium, ankle bracelet, Phenom, Tall, Wide Hips, Oval Face, Fair Skin, Chestnut Hair, red Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Blunt Cut Bangs, full breasts, Faux gauge earrings, magenta matte lipstick, Blue Satin and Lace Cami and Short Set
Rhenium, ankle cuff, Songstress, Tall, Skinny, Oval Face, Olive Skin, Light Brown Hair, yellow Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Fishbone Braid, perky breasts, Dangle earrings, burgundy stain lipstick, Black Lace Bustier
Ruthenium, animal brooch, Siren, Tall, Slim, Diamond-Shaped Face, Tan Skin, Silver Hair, pink Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Sock Bun, round breasts, Huggie earrings, peach velvet lipstick, Mint Green Mesh Teddy 
Gallium, beaded bracelet, Lady, Tall, Lean, Square Face, Dark Skin, Auburn Hair, pink Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Fishtail Braid, full breasts, Faux gauge earrings, coral cream lipstick, Silver Silk Bra and Panty Set with Garter Belt
Indium, chain bracelet, Heiress, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, White Hair, hazel Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Beach Waves, perky breasts, Clip-on earrings, grape matte lipstick, Purple Velvet Robe with Fur Trim 
Silver, cocktail ring, Temptress, Short, Firm, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, brown Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Low Messy Bun, firm breasts, Cuff earrings, grape sheer lipstick, Crimson Velvet Cami and Short Set 
Platinum, pearl necklace, Miss, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Brown Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Middle Part Bangs, large breasts, Stud earrings, burgundy cream lipstick, Black Leather Bralette and Panty Set
Palladium, cocktail ring, Female Viking, Average Height, Athletic, Square Face, Dark Skin, White Hair, black Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, firm breasts, Huggie earrings, fuchsia satin lipstick, Maroon Satin and Lace Corset 
Osmium, toggle bracelet, Temptress, Short, Fit, Square Face, Olive Skin, Dark Brown Hair, ice blue Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Fishbone Braid, asymmetrical breasts, Cuff earrings, light pink matte lipstick, White Sheer Teddy with Lace Trim
Gallium, collar necklace, Madam, Average Height, Narrow Hips, Heart-Shaped Face, Olive Skin, Strawberry Blonde Hair, Green Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Bouncy Curls, full breasts, Stud earrings, grape metallic lipstick, Fuchsia Mesh Halter Bra and Panty Set
Rhodium, charm bracelet, Phenom, Average Height, Fit, Heart-Shaped Face, Fair Skin, Black Hair, black Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Shaggy Cut, asymmetrical breasts, Huggie earrings, cream matte lipstick, Charcoal Sheer Bra and Panty Set
Radium, collar necklace, Female Viking, Short, Skinny, Square Face, Olive Skin, Brunette Hair, Sapphire Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Top Knot, asymmetrical breasts, Clip-on earrings, teal metallic lipstick, Silver Silk Bra and Panty Set with Garter Belt
Rhodium, vintage brooch, Temptress, Average Height, Narrow Hips, Oval Face, Fair Skin, Silver Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, High Chignon, round breasts, , golden sheer lipstick, Pink Lace Garter Slip with Matching Thong
Indium, animal brooch, Enigma, Average Height, Athletic, Heart-Shaped Face, Tan Skin, Brunette Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, asymmetrical breasts, Huggie earrings, rose gloss lipstick, Teal Velvet Chemise with Ruffles 
Radium, toggle bracelet, Diva, Average Height, Firm, Diamond-Shaped Face, Fair Skin, Blonde Hair, brown Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Long Curled Updo, small breasts, Stud earrings, fuchsia velvet lipstick, Maroon Satin and Lace Corset 
Gold, chain necklace, Starlet, Tall, Narrow Hips, Triangular Face, Dark Skin, Blonde Hair, silver Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Sleek Straight Hair, firm breasts, Threader earrings, shimmer metallic lipstick, Green Satin and Lace Garter Belt with Matching Thong
Tantalum, slave bracelet, Baroness, Tall, Wide Hips, Triangular Face, Dark Skin, Silver Hair, brown Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Long Curled Updo, asymmetrical breasts, , terracotta velvet lipstick, Pink Lace Garter Slip with Matching Thong
Cadmium, ankle cuff, Vixen, Tall, Firm, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, grey Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Chignon, augmented breasts, Stud earrings, red sheer lipstick, Charcoal Sheer Bra and Panty Set
Tantalum, choker, Miss, Tall, Fit, Square Face, Dark Skin, Gray Hair, grey Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Top Knot, full breasts, Clip-on earrings, lavender metallic lipstick, Tan Faux Leather Slip Dress
Rhenium, torc necklace, Songstress, Tall, Thin, Round Face, Fair Skin, Light Brown Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Curled Bob, saggy breasts, Cuff earrings, pink cream lipstick, White Satin and Lace Bra and Panty Set
Palladium, ankle cuff, Luminary, Tall, Skinny, Round Face, Dark Skin, Chestnut Hair, purple Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Rope Braid, asymmetrical breasts, Dangle earrings, violet velvet lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Ruthenium, tennis bracelet, Starlet, Short, Firm, Heart-Shaped Face, Fair Skin, Chestnut Hair, amber Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, High Chignon, large breasts, Drop earrings, rose matte lipstick, Cream Sequin Bra and Pant Set
Gold, bib necklace, Heiress, Short, Narrow Hips, Round Face, Fair Skin, White Hair, coral Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Twisted Bun, large breasts, Clip-on earrings, cream velvet lipstick, Purple Mesh Babydoll with Matching G-String
Rhodium, ankle bracelet, Miss, Short, Slim, Diamond-Shaped Face, Olive Skin, Red Hair, Blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, large breasts, Drop earrings, soft pink matte lipstick, Blue Satin and Lace Cami and Short Set
Rhodium, vintage brooch, Vixen, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, Sapphire Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Side-Swept Bangs, full breasts, Dangle earrings, peach satin lipstick, White Satin and Lace Bra and Panty Set
Silver, ankle cuff, Charmer, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, pink Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Braided Headband, saggy breasts, , magenta gloss lipstick, Pink Lace Chemise with Ruffle Details
Gold, tennis necklace, Diva, Short, Wide Hips, Triangular Face, Fair Skin, Gray Hair, Sapphire Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Low Messy Bun, asymmetrical breasts, Dangle earrings, burgundy satin lipstick, Red Mesh Chemise with Strappy Back Detail
Indium, brooch, Maven, Tall, Slim, Triangular Face, Dark Skin, Honey Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid, small breasts, Faux gauge earrings, golden cream lipstick, Plum Satin and Lace Bustier 
Rhenium, pearl necklace, Belle, Tall, Slim, Heart-Shaped Face, Tan Skin, Chestnut Hair, purple Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Straight Bob with Layers, natural breasts, Clip-on earrings, teal sheer lipstick, Yellow Lace Garter Belt 
Gold, chain necklace, Enchantress, Tall, Wide Hips, Square Face, Dark Skin, Dark Brown Hair, gold Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Bangs with Highlights, perky breasts, Faux gauge earrings, light pink satin lipstick, Green Satin and Lace Garter Belt with Matching Thong
Osmium, tennis bracelet, Luminary, Average Height, Wide Hips, Round Face, Tan Skin, Golden Blonde Hair, turquoise Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, augmented breasts, Huggie earrings, peach satin lipstick, Yellow Lace Garter Belt 
Rhodium, tennis necklace, Enchantress, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Blonde Hair, aquamarine Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Lace Braid, saggy breasts, Threader earrings, mauve stain lipstick, Cream Sequin Bra and Pant Set
Tantalum, ankle bracelet, Temptress, Tall, Slim, Oval Face, Tan Skin, Strawberry Blonde Hair, turquoise Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Braided Crown, augmented breasts, Hoop earrings, light pink velvet lipstick, Navy Blue Satin Garter Belt with Suspenders 
Gallium, charm bracelet, Female Warrior, Tall, in shape, Diamond-Shaped Face, Dark Skin, Blonde Hair, pink Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Layered Bob, augmented breasts, , hot pink cream lipstick, Pink Lace Garter Slip with Matching Thong
Germanium, cuff bracelet, Superwoman, Tall, Thin, Oval Face, Fair Skin, Honey Blonde Hair, blue Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, firm breasts, Threader earrings, lavender cream lipstick, Cream Sequin Bra and Pant Set
Beryllium, beaded bracelet, Diva, Average Height, Wide Hips, Oval Face, Tan Skin, Gray Hair, teal Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Short Afro, soft breasts, Threader earrings, golden cream lipstick, Crimson Velvet Cami and Short Set 
Palladium, ankle cuff, Mistress, Short, Wide Hips, Diamond-Shaped Face, Tan Skin, Gray Hair, Amber Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Formal Braided Updo, small breasts, Huggie earrings, green velvet lipstick, Lavender Lace Bra and Panty Set 
Indium, tennis necklace, Miss, Average Height, Thin, Triangular Face, Dark Skin, Light Brown Hair, Blue Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Top Knot, full breasts, Dangle earrings, brown matte lipstick, Yellow Lace Garter Belt 
Germanium, watch bracelet, Chanteuse, Tall, Athletic, Heart-Shaped Face, Fair Skin, Red Hair, Sapphire Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Swept Bangs, full breasts, Threader earrings, peach matte lipstick, Orange Satin Slip
Palladium, pearl necklace, Vixen, Short, Skinny, Oval Face, Olive Skin, Chestnut Hair, Hazel Eyes with Green Flecks, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Fancy Updo, round breasts, Drop earrings, red gloss lipstick, Green Sequin Slip Dress with Thigh-High Slits
Radium, bangle bracelet, Belle, Average Height, Lean, Oval Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Straight Bob with Layers, full breasts, Hoop earrings, golden sheer lipstick, Green Silk Bralette and Panty Set
Iridium, toe ring, Escort, Short, Fit, Oval Face, Tan Skin, Red Hair, blue Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Loose Curls, firm breasts, Dangle earrings, mauve sheer lipstick, Mint Green Mesh Teddy 
Silver, choker, Baroness, Tall, Wide Hips, Oval Face, Tan Skin, Dark Brown Hair, dark brown Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Swept Bangs, natural breasts, Drop earrings, peach matte lipstick, Black Sheer Teddy with Floral Applique
Ruthenium, watch bracelet, Goddess, Average Height, in shape, Square Face, Tan Skin, Golden Blonde Hair, jade Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Long Curled Updo, perky breasts, Faux gauge earrings, rust stain lipstick, Green Sequin Slip Dress with Thigh-High Slits
Rhenium, tassel necklace, Female Warrior, Tall, Thin, Oval Face, Fair Skin, Black Hair, gold Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Loose Curls, firm breasts, Clip-on earrings, plum matte lipstick, Teal Velvet Chemise with Ruffles 
Iridium, vintage brooch, Gal, Short, in shape, Round Face, Olive Skin, Dark Brown Hair, light blue Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, High Messy Bun, full breasts, Clip-on earrings, mauve stain lipstick, Purple Mesh Babydoll with Matching G-String
Gallium, ankle bracelet, Visionary, Tall, Thin, Triangular Face, Olive Skin, Light Brown Hair, Blue Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Half Up Half Down, natural breasts, Stud earrings, orange gloss lipstick, Navy Blue Satin Garter Belt with Suspenders 
Rhenium, cuff bracelet, Miss, Average Height, Firm, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, jade Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Low Messy Bun, firm breasts, Drop earrings, cherry velvet lipstick, Brown Strappy Bodysuit
Silver, statement necklace, Trailblazer, Short, Wide Hips, Round Face, Olive Skin, Red Hair, pink Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, perky breasts, Huggie earrings, peach sheer lipstick, Green Satin and Lace Garter Belt with Matching Thong
Radium, locket necklace, Female Warrior, Tall, Narrow Hips, Triangular Face, Olive Skin, Platinum Blonde Hair, jade Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Sleek Straight Hair, large breasts, , green sheer lipstick, Gold Strappy Bodysuit
Radium, bangle bracelet, Duchess, Tall, Lean, Diamond-Shaped Face, Olive Skin, Brunette Hair, Sapphire Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Sock Bun, asymmetrical breasts, , rust cream lipstick, Tan Faux Leather Slip Dress
Gold, cocktail brooch, Diva, Average Height, Fit, Oval Face, Fair Skin, Chestnut Hair, green Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Viking Braid, perky breasts, Drop earrings, magenta metallic lipstick, Green Sequin Slip Dress with Thigh-High Slits
Rhenium, vintage brooch, Heiress, Short, Toned, Square Face, Dark Skin, Blonde Hair, green Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Shaggy Cut, round breasts, Hoop earrings, teal sheer lipstick, Lavender Lace Bra and Panty Set 
Osmium, necklace, Empress, Average Height, Athletic, Square Face, Olive Skin, Silver Hair, yellow Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Low Ponytail, round breasts, Stud earrings, soft pink velvet lipstick, Blue Satin and Lace Cami and Short Set
Rhodium, torc necklace, Phenom, Tall, Toned, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, Blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Beach Waves, perky breasts, Drop earrings, grape stain lipstick, Black Cutout Bodysuit with Zipper
Gallium, cuff bracelet, Duchess, Short, Slim, Round Face, Olive Skin, Dark Brown Hair, ice blue Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Fishtail Braid, round breasts, Faux gauge earrings, burgundy velvet lipstick, Charcoal Sheer Bra and Panty Set
Ruthenium, flower brooch, Diva, Short, Athletic, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, amber Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Blunt Bangs, small breasts, Cuff earrings, rose gloss lipstick, Pink Lace Chemise with Ruffle Details
Beryllium, bib necklace, Starlet, Short, in shape, Diamond-Shaped Face, Fair Skin, Silver Hair, Gray Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Middle Part Bangs, augmented breasts, Faux gauge earrings, brown velvet lipstick, Silver Sequin Bralette
