shrouded, Thief, (  wearing  cape ), Sensation, Short, Lean, Oval Face, Fair Skin, Platinum Blonde Hair, ice blue Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Updo, augmented breasts, Drop earrings, fuchsia metallic lipstick, dragon lair
charmed, Monk, (  wearing  beanie ), Babe, Short, Toned, Round Face, Dark Skin, Blonde Hair, yellow Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, large breasts, , burgundy matte lipstick, forest clearing
numinous, Druid, (  wearing  beret ), Female Warrior, Short, Thin, Heart-Shaped Face, Fair Skin, Red Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Chignon, augmented breasts, Stud earrings, grape metallic lipstick, forest clearing
mystical, Summoner, (  wearing  bucket hat ), Femme fatale, Short, Lean, Round Face, Dark Skin, Golden Blonde Hair, black Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Bob with Bangs, natural breasts, Huggie earrings, berry cream lipstick, medieval castle
epic, Cleric, (  wearing  bow tie ), Charmer, Tall, Fit, Diamond-Shaped Face, Tan Skin, Red Hair, Brown Eyes with Green Flecks, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Stacked Bob, augmented breasts, Clip-on earrings, black velvet lipstick, mountain peak
magical, Warrior, (  wearing  sunglasses ), Luminary, Short, Firm, Triangular Face, Olive Skin, Honey Blonde Hair, turquoise Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Swept Bangs, soft breasts, Drop earrings, green cream lipstick, mountain peak
primeval, Bard, (  wearing  sunglasses ), Queen, Tall, Narrow Hips, Diamond-Shaped Face, Tan Skin, White Hair, Gray Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, French Roll, large breasts, , grape sheer lipstick, dragon lair
shrouded, Ranger, (  wearing  hat ), Visionary, Average Height, Narrow Hips, Triangular Face, Fair Skin, Dark Brown Hair, ice blue Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Side French Braid, asymmetrical breasts, Cuff earrings, lavender cream lipstick, dragon lair
venerable, Warrior, (  wearing  mask ), Miss, Tall, Narrow Hips, Oval Face, Tan Skin, Honey Blonde Hair, green Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Triple Braided Crown, asymmetrical breasts, Stud earrings, green stain lipstick, frozen tundra
numinous, Bard, (  wearing  top hat ), Queen, Average Height, Athletic, Diamond-Shaped Face, Olive Skin, Silver Hair, red Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Viking Braid, asymmetrical breasts, Faux gauge earrings, rust stain lipstick, frozen tundra
immortal, Assassin, (  wearing  top hat ), Enigma, Tall, in shape, Heart-Shaped Face, Fair Skin, Black Hair, Blue Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Layered Bob, perky breasts, Faux gauge earrings, green sheer lipstick, haunted mansion
mysterious, Paladin, (  wearing  top hat ), Starlet, Average Height, Athletic, Oval Face, Fair Skin, Golden Blonde Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Thick Hair, Side-Swept Bangs, full breasts, Drop earrings, burgundy metallic lipstick, frozen tundra
immemorial, Enchanter, (  wearing  top hat ), Charmer, Short, in shape, Diamond-Shaped Face, Olive Skin, Silver Hair, blue Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Waves, large breasts, Dangle earrings, teal cream lipstick, mountain peak
supernatural, Knight, (  wearing  bandana ), Countess, Average Height, Fit, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, grey Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Fishtail Crown Braid, natural breasts, Cuff earrings, violet metallic lipstick, haunted mansion
celestial, Ranger, (  wearing  mask ), Female Warrior, Average Height, in shape, Heart-Shaped Face, Fair Skin, Blonde Hair, red Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Donut Bun, soft breasts, Cuff earrings, plum sheer lipstick, forest clearing
dreamlike, Wizard, (  wearing  sunglasses ), Empress, Tall, Athletic, Round Face, Fair Skin, Dark Brown Hair, turquoise Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Half Up, full breasts, Huggie earrings, pink matte lipstick, enchanted garden
daemonic, Necromancer, (  wearing  scarf ), Superwoman, Tall, in shape, Oval Face, Fair Skin, White Hair, ice blue Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Four-Strand Braid, large breasts, Cuff earrings, light pink matte lipstick, dragon lair
spellbinding, Sorcerer, (  wearing  turban ), Miss, Tall, Lean, Square Face, Tan Skin, Golden Blonde Hair, black Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Twisted Bun, firm breasts, Cuff earrings, teal velvet lipstick, enchanted garden
enchanted, Wizard, (  wearing  scarf ), Miss, Tall, Thin, Oval Face, Dark Skin, Black Hair, teal Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Side French Braid, perky breasts, Dangle earrings, pink velvet lipstick, enchanted garden
mystical, Bard, (  wearing  fedora ), Seductress, Short, Firm, Triangular Face, Fair Skin, Blonde Hair, Blue Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Long Curly Hair, large breasts, Threader earrings, soft pink velvet lipstick, sunken ruins
magical, Elementalist, (  wearing  parasol ), Baroness, Average Height, Narrow Hips, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, pink Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Lace Braid, round breasts, Stud earrings, green metallic lipstick, desert oasis
talismanic, Illusionist, (  wearing  hat ), Lady, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, turquoise Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Fine Hair, Side-Swept Bangs, soft breasts, Cuff earrings, light pink sheer lipstick, frozen tundra
epic, Summoner, (  wearing  scarf ), Mistress, Average Height, in shape, Square Face, Tan Skin, Dark Brown Hair, black Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Straight Updo, large breasts, Dangle earrings, cream cream lipstick, medieval castle
spellbinding, Enchanter, (  wearing  glasses ), Maven, Average Height, Skinny, Round Face, Olive Skin, Honey Blonde Hair, turquoise Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, saggy breasts, Hoop earrings, red velvet lipstick, underground dungeon
dreamlike, Paladin, (  wearing  fedora ), Miss, Short, Athletic, Heart-Shaped Face, Tan Skin, Auburn Hair, coral Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Long Curled Updo, natural breasts, , rose metallic lipstick, underground dungeon
spellbinding, Enchanter, (  wearing  scarf ), Countess, Short, in shape, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, red Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Afro, asymmetrical breasts, Stud earrings, lavender velvet lipstick, underground dungeon
uncanny, Barbarian, (  wearing  bowler hat ), Diva, Average Height, Toned, Heart-Shaped Face, Olive Skin, Black Hair, Sapphire Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Tapered Afro, saggy breasts, Dangle earrings, plum matte lipstick, enchanted garden
supernatural, Bard, (  wearing  beanie ), Empress, Tall, Thin, Oval Face, Dark Skin, Chestnut Hair, amber Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Messy Beach Waves, small breasts, Cuff earrings, rust gloss lipstick, forest clearing
primeval, Wizard, (  wearing  bandana ), Songstress, Average Height, Skinny, Round Face, Olive Skin, Platinum Blonde Hair, aquamarine Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Fluffy Afro, asymmetrical breasts, Huggie earrings, light pink cream lipstick, frozen tundra
illustrious, Alchemist, (  wearing  sunglasses ), Woman, Average Height, Slim, Oval Face, Dark Skin, Dark Brown Hair, grey-blue Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Straight Bob with Layers, augmented breasts, , cream metallic lipstick, enchanted garden
talismanic, Monk, (  wearing  baseball cap ), Woman, Average Height, Skinny, Square Face, Tan Skin, Dark Brown Hair, gold Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Side French Braid, augmented breasts, Stud earrings, rose metallic lipstick, enchanted garden
astral, Barbarian, (  wearing  cape ), Dame, Average Height, Narrow Hips, Round Face, Olive Skin, Black Hair, light blue Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Double Braided Crown, soft breasts, Dangle earrings, cherry gloss lipstick, medieval castle
sacred, Cleric, (  wearing  bowler hat ), Luminary, Short, Fit, Heart-Shaped Face, Olive Skin, Light Brown Hair, jade Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Fishbone Braid, augmented breasts, Cuff earrings, pink sheer lipstick, underground dungeon
enchanting, Ranger, (  wearing  sunglasses ), Chanteuse, Tall, Wide Hips, Heart-Shaped Face, Fair Skin, Black Hair, pink Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Side Bangs, asymmetrical breasts, Clip-on earrings, shimmer metallic lipstick, haunted mansion
mythical, Assassin, (  wearing  sunglasses ), Heiress, Short, Skinny, Oval Face, Dark Skin, Brunette Hair, blue Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Swept Bangs, saggy breasts, Drop earrings, red matte lipstick, frozen tundra
ancient, Knight, (  wearing  monocle ), Woman, Short, Firm, Triangular Face, Olive Skin, Honey Blonde Hair, grey-blue Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Wavy Layered Bob, small breasts, Cuff earrings, rose satin lipstick, haunted mansion
mysterious, Ranger, (  wearing  hat ), Visionary, Tall, Firm, Square Face, Olive Skin, Auburn Hair, red Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Chignon, natural breasts, Threader earrings, light pink cream lipstick, sunken ruins
sacred, Assassin, (  wearing  cape ), Miss, Short, in shape, Square Face, Fair Skin, Red Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Bun, natural breasts, Clip-on earrings, berry matte lipstick, frozen tundra
transcendent, Cleric, (  wearing  sunglasses ), Lady, Average Height, Wide Hips, Round Face, Olive Skin, Honey Blonde Hair, Sapphire Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Wavy Hair, Shaggy Cut, saggy breasts, Cuff earrings, teal satin lipstick, haunted mansion
phantasmal, Summoner, (  wearing  beret ), Femme fatale, Average Height, Narrow Hips, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, black Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Wavy Layered Bob, large breasts, Clip-on earrings, cherry sheer lipstick, enchanted garden
beguiling, Warrior, (  wearing  crown ), Charmer, Short, Toned, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, amber Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, firm breasts, Hoop earrings, coral velvet lipstick, underground dungeon
venerable, Assassin, (  wearing  bandana ), Phenom, Tall, Lean, Diamond-Shaped Face, Tan Skin, Black Hair, dark brown Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Tapered Afro, saggy breasts, Faux gauge earrings, lavender velvet lipstick, desert oasis
phantasmal, Barbarian, (  wearing  umbrella ), Starlet, Tall, Athletic, Triangular Face, Dark Skin, Black Hair, coral Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, French Roll, full breasts, Cuff earrings, soft pink satin lipstick, haunted mansion
eldritch, Ranger, (  wearing  top hat ), Heiress, Average Height, Athletic, Round Face, Dark Skin, Dark Brown Hair, silver Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Triple Braided Crown, perky breasts, Dangle earrings, pink cream lipstick, medieval castle
mythical, Illusionist, (  wearing  fedora ), Enigma, Tall, Lean, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, Brown Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Straight Bob, firm breasts, Hoop earrings, fuchsia stain lipstick, dragon lair
illustrious, Paladin, (  wearing  beret ), Seductress, Short, Wide Hips, Square Face, Olive Skin, Honey Blonde Hair, brown Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Messy Top Knot, round breasts, Huggie earrings, green stain lipstick, desert oasis
numinous, Paladin, (  wearing  bow tie ), Duchess, Average Height, Toned, Oval Face, Olive Skin, White Hair, teal Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Donut Bun, full breasts, Dangle earrings, terracotta metallic lipstick, haunted mansion
immortal, Enchanter, (  wearing  bucket hat ), Empress, Tall, Toned, Heart-Shaped Face, Olive Skin, Auburn Hair, amber Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Blunt Cut Bangs, small breasts, Hoop earrings, hot pink satin lipstick, desert oasis
spellbinding, Cleric, (  wearing  shawl ), Babe, Tall, Wide Hips, Square Face, Tan Skin, White Hair, Gray Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Wedding Updo, soft breasts, Clip-on earrings, hot pink velvet lipstick, sunken ruins
mystical, Necromancer, (  wearing  crown ), Woman, Tall, Narrow Hips, Triangular Face, Tan Skin, Gray Hair, green Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Thick Hair, Rope Braid, small breasts, Faux gauge earrings, rust metallic lipstick, haunted mansion
mythical, Bard, (  wearing  cape ), Goddess, Short, Lean, Square Face, Fair Skin, Blonde Hair, amber Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, High Messy Bun, augmented breasts, Huggie earrings, black gloss lipstick, desert oasis
enchanted, Summoner, (  wearing  umbrella ), Luminary, Average Height, Firm, Round Face, Olive Skin, White Hair, grey Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Loose Curls, full breasts, Clip-on earrings, hot pink satin lipstick, underground dungeon
ethereal, Alchemist, (  wearing  bowler hat ), Starlet, Average Height, Athletic, Round Face, Fair Skin, Red Hair, ice blue Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Ballerina Bun, natural breasts, Dangle earrings, green gloss lipstick, forest clearing
elusive, Assassin, (  wearing  tie ), Trailblazer, Tall, Firm, Oval Face, Olive Skin, Chestnut Hair, brown Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Boho Braid, firm breasts, Huggie earrings, black gloss lipstick, medieval castle
venerable, Ranger, (  wearing  crown ), Miss, Short, Slim, Oval Face, Olive Skin, Strawberry Blonde Hair, teal Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Sleek Waves, natural breasts, Clip-on earrings, orange matte lipstick, frozen tundra
timeless, Paladin, (  wearing  shawl ), Siren, Tall, Slim, Oval Face, Dark Skin, Platinum Blonde Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Long Curled Updo, small breasts, Stud earrings, rust metallic lipstick, desert oasis
enchanted, Elementalist, (  wearing  beanie ), Starlet, Tall, Wide Hips, Heart-Shaped Face, Tan Skin, Golden Blonde Hair, hazel Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Fishtail Crown Braid, natural breasts, Huggie earrings, burgundy cream lipstick, haunted mansion
illustrious, Summoner, (  wearing  sunglasses ), Artist, Tall, Firm, Oval Face, Dark Skin, Golden Blonde Hair, amber Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Straight Updo, perky breasts, Stud earrings, plum velvet lipstick, mountain peak
arcane, Sorcerer, (  wearing  baseball cap ), Mistress, Short, Toned, Oval Face, Tan Skin, Blonde Hair, Blue Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sleek Straight Hair, asymmetrical breasts, Hoop earrings, beige satin lipstick, enchanted garden
otherworldly, Alchemist, (  wearing  bucket hat ), Heiress, Short, Thin, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Formal Braided Updo, small breasts, Faux gauge earrings, pink cream lipstick, sunken ruins
transcendent, Summoner, (  wearing  top hat ), Vixen, Average Height, Slim, Round Face, Dark Skin, Light Brown Hair, brown Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, Half Up Half Down, round breasts, Faux gauge earrings, soft pink sheer lipstick, sunken ruins
eldritch, Sorcerer, (  wearing  bandana ), Siren, Short, Toned, Square Face, Tan Skin, White Hair, peach Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Fine Hair, Smooth Waves, soft breasts, Clip-on earrings, terracotta gloss lipstick, forest clearing
sacred, Druid, (  wearing  bowler hat ), Chanteuse, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Blue Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Half Up Half Down, natural breasts, Clip-on earrings, rust gloss lipstick, underground dungeon
mystical, Cleric, (  wearing  mask ), Female Warrior, Short, Skinny, Oval Face, Olive Skin, Gray Hair, ice blue Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Side Bangs, perky breasts, Faux gauge earrings, magenta metallic lipstick, frozen tundra
celestial, Summoner, (  wearing  shawl ), Female Viking, Tall, Thin, Square Face, Dark Skin, Chestnut Hair, Brown Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Straight Bob, round breasts, Faux gauge earrings, pink metallic lipstick, underground dungeon
dreamlike, Illusionist, (  wearing  tiara ), Chanteuse, Tall, Fit, Diamond-Shaped Face, Fair Skin, Chestnut Hair, turquoise Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Afro, saggy breasts, Huggie earrings, coral cream lipstick, medieval castle
enchanted, Enchanter, (  wearing  scarf ), Lady, Short, Wide Hips, Round Face, Fair Skin, Light Brown Hair, green Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Middle Part Bangs, augmented breasts, Threader earrings, light pink matte lipstick, medieval castle
immortal, Warrior, (  wearing  poncho ), Visionary, Tall, Firm, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, silver Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Long Wavy Hair, soft breasts, Clip-on earrings, terracotta velvet lipstick, medieval castle
dreamlike, Ranger, (  wearing  bowler hat ), Charmer, Short, Toned, Diamond-Shaped Face, Dark Skin, Light Brown Hair, Hazel Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Messy Top Knot, perky breasts, Cuff earrings, rust gloss lipstick, medieval castle
daemonic, Paladin, (  wearing  sunglasses ), Sensation, Short, Lean, Oval Face, Tan Skin, Chestnut Hair, brown Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Low Updo, firm breasts, Threader earrings, cream sheer lipstick, dragon lair
otherworldly, Bard, (  wearing  umbrella ), Songstress, Tall, Skinny, Square Face, Olive Skin, Gray Hair, aquamarine Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Smooth Waves, augmented breasts, Stud earrings, light pink cream lipstick, mountain peak
dreamlike, Cleric, (  wearing  umbrella ), Heiress, Tall, Toned, Diamond-Shaped Face, Dark Skin, Black Hair, silver Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Thick Hair, Messy Bun, saggy breasts, , orange matte lipstick, frozen tundra
antediluvian, Cleric, (  wearing  crown ), Belle, Tall, in shape, Square Face, Tan Skin, White Hair, grey-blue Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Fauxhawk, round breasts, Hoop earrings, red stain lipstick, haunted mansion
venerable, Wizard, (  wearing  sunglasses ), Gal, Average Height, Wide Hips, Square Face, Tan Skin, Blonde Hair, silver Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Chignon, augmented breasts, Hoop earrings, grape metallic lipstick, underground dungeon
spectral, Alchemist, (  wearing  umbrella ), Temptress, Short, Thin, Square Face, Olive Skin, Honey Blonde Hair, aquamarine Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Shaggy Cut, round breasts, Drop earrings, golden stain lipstick, sunken ruins
charmed, Thief, (  wearing  cape ), Madam, Short, Lean, Diamond-Shaped Face, Olive Skin, Auburn Hair, grey Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Loose Curls, soft breasts, , green stain lipstick, medieval castle
charmed, Wizard, (  wearing  sunglasses ), Artist, Tall, Athletic, Triangular Face, Dark Skin, Strawberry Blonde Hair, green Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Straight Hair, Top Knot, soft breasts, Faux gauge earrings, hot pink satin lipstick, enchanted garden
immemorial, Warrior, (  wearing  cowboy hat ), Trailblazer, Short, Firm, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Gray Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, High Messy Bun, small breasts, Clip-on earrings, orange metallic lipstick, frozen tundra
phantasmal, Alchemist, (  wearing  cowboy hat ), Goddess, Tall, in shape, Heart-Shaped Face, Fair Skin, Black Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Layered Bob, saggy breasts, Clip-on earrings, fuchsia cream lipstick, enchanted garden
dreamlike, Druid, (  wearing  turban ), Superwoman, Average Height, Firm, Heart-Shaped Face, Fair Skin, Platinum Blonde Hair, pink Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Wavy Bob, natural breasts, Huggie earrings, coral gloss lipstick, haunted mansion
ghostly, Paladin, (  wearing  bucket hat ), Empress, Average Height, Toned, Round Face, Dark Skin, Black Hair, brown Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Swept Bangs, natural breasts, Drop earrings, rose gloss lipstick, dragon lair
ethereal, Wizard, (  wearing  monocle ), Seductress, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, Green Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Fishtail Braid, small breasts, Threader earrings, rose stain lipstick, desert oasis
antediluvian, Alchemist, (  wearing  bandana ), Empress, Tall, Firm, Round Face, Olive Skin, Chestnut Hair, Sapphire Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Thick Hair, Fancy Updo, firm breasts, Cuff earrings, brown satin lipstick, enchanted garden
sacred, Thief, (  wearing  umbrella ), Sensation, Average Height, Lean, Oval Face, Fair Skin, Blonde Hair, amethyst Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Half Up Half Down, firm breasts, Dangle earrings, brown satin lipstick, mountain peak
epic, Ranger, (  wearing  monocle ), Temptress, Short, Toned, Oval Face, Fair Skin, Golden Blonde Hair, purple Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Braid, firm breasts, Hoop earrings, black sheer lipstick, forest clearing
antediluvian, Sorcerer, (  wearing  beanie ), Maven, Short, Athletic, Triangular Face, Fair Skin, Red Hair, yellow Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Braided Half Up, firm breasts, Cuff earrings, rose gloss lipstick, haunted mansion
mythical, Enchanter, (  wearing  sunglasses ), Luminary, Average Height, Athletic, Triangular Face, Tan Skin, Honey Blonde Hair, purple Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Bob with Bangs, firm breasts, Dangle earrings, burgundy stain lipstick, desert oasis
spellbinding, Illusionist, (  wearing  beanie ), Female Warrior, Short, Narrow Hips, Triangular Face, Olive Skin, Golden Blonde Hair, ice blue Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Beach Waves, round breasts, Cuff earrings, brown gloss lipstick, underground dungeon
timeless, Bard, (  wearing  beanie ), Female Viking, Tall, in shape, Diamond-Shaped Face, Tan Skin, Black Hair, coral Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Braided Headband, large breasts, Hoop earrings, grape metallic lipstick, forest clearing
legendary, Bard, (  wearing  hat ), Duchess, Average Height, Thin, Heart-Shaped Face, Fair Skin, Brunette Hair, brown Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Braided Headband, asymmetrical breasts, , gloss matte lipstick, mountain peak
immortal, Summoner, (  wearing  headband ), Femme fatale, Tall, Fit, Round Face, Dark Skin, Gray Hair, Sapphire Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Loose Waves, small breasts, Cuff earrings, lavender sheer lipstick, frozen tundra
astral, Ranger, (  wearing  turban ), Enchantress, Average Height, Narrow Hips, Square Face, Tan Skin, Auburn Hair, brown Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, French Twist, natural breasts, Faux gauge earrings, teal metallic lipstick, medieval castle
ethereal, Druid, (  wearing  baseball cap ), Madam, Short, in shape, Triangular Face, Tan Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Shoulder-Length Curls, augmented breasts, Drop earrings, lavender stain lipstick, forest clearing
spellbinding, Knight, (  wearing  poncho ), Female Warrior, Tall, Lean, Triangular Face, Fair Skin, Silver Hair, Hazel Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Donut Bun, large breasts, Drop earrings, lavender stain lipstick, dragon lair
shadowy, Illusionist, (  wearing  crown ), Gal, Short, Narrow Hips, Heart-Shaped Face, Dark Skin, Blonde Hair, peach Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Dutch Braid, round breasts, Hoop earrings, green sheer lipstick, medieval castle
immemorial, Enchanter, (  wearing  shawl ), Songstress, Average Height, Slim, Oval Face, Fair Skin, Red Hair, Hazel Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Stacked Bob, firm breasts, Clip-on earrings, beige gloss lipstick, desert oasis
enchanted, Assassin, (  wearing  poncho ), Superwoman, Short, Slim, Oval Face, Fair Skin, Blonde Hair, yellow Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Low Messy Bun, perky breasts, Cuff earrings, grape sheer lipstick, medieval castle
immemorial, Wizard, (  wearing  fedora ), Baroness, Average Height, Skinny, Triangular Face, Dark Skin, Brunette Hair, grey-blue Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Sleek Straight Hair, soft breasts, , pink metallic lipstick, dragon lair
